Bandwidth Price to Free Cash Flow Ratio Historical Data,Bandwidth Price to Free Cash Flow Ratio Historical Data,Bandwidth Price to Free Cash Flow Ratio Historical Data,Bandwidth Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.02,,6.68
2024-12-31,17.02,$2.25,7.57
2024-09-30,17.51,$1.59,11.03
2024-06-30,16.88,$1.69,9.98
2024-03-31,18.26,$0.95,19.18
2023-12-31,14.47,$0.75,19.4
2023-09-30,11.27,$-0.27,0.0
2023-06-30,13.68,$-0.45,0.0
2023-03-31,15.2,$-0.82,0.0
2022-12-31,22.95,$-0.94,0.0
2022-09-30,11.9,$-0.11,0.0
2022-06-30,18.82,$-0.15,0.0
2022-03-31,32.39,$-0.44,0.0
2021-12-31,71.76,$0.14,495.24
2021-09-30,90.28,$-0.60,0.0
2021-06-30,137.92,$-0.70,0.0
2021-03-31,126.74,$0.18,714.03
2020-12-31,153.67,$-0.42,0.0
2020-09-30,174.57,$-0.31,0.0
2020-06-30,127.0,$-0.91,0.0
2020-03-31,67.29,$-1.15,0.0
2019-12-31,64.05,$-1.13,0.0
2019-09-30,65.11,$-1.08,0.0
2019-06-30,75.02,$-0.73,0.0
2019-03-31,66.96,$-0.49,0.0
2018-12-31,40.75,$0.48,84.58
2018-09-30,53.57,$1.19,44.85
