AGCO Price to Free Cash Flow Ratio Historical Data,AGCO Price to Free Cash Flow Ratio Historical Data,AGCO Price to Free Cash Flow Ratio Historical Data,AGCO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,94.47,,23.63
2024-12-31,93.48,$4.00,23.38
2024-09-30,97.56,$4.80,20.3
2024-06-30,97.26,$11.62,8.37
2024-03-31,119.23,$10.84,11.0
2023-12-31,117.37,$7.97,14.73
2023-09-30,114.06,$11.56,9.86
2023-06-30,126.44,$7.41,17.06
2023-03-31,124.41,$5.52,22.53
2022-12-31,127.4,$6.04,21.09
2022-09-30,88.17,$-0.25,0.0
2022-06-30,90.3,$-0.95,0.0
2022-03-31,128.51,$1.65,77.8
2021-12-31,101.94,$5.24,19.45
2021-09-30,107.49,$5.73,18.76
2021-06-30,114.22,$9.61,11.88
2021-03-31,122.48,$9.85,12.43
2020-12-31,87.78,$8.31,10.56
2020-09-30,63.13,$9.59,6.58
2020-06-30,47.04,$5.29,8.89
2020-03-31,39.94,$4.07,9.82
2019-12-31,65.14,$5.55,11.73
2019-09-30,63.7,$3.24,19.69
2019-06-30,65.28,$4.16,15.68
2019-03-31,58.4,$4.97,11.76
2018-12-31,46.63,$4.97,9.39
2018-09-30,50.79,$5.02,10.12
2018-06-30,50.6,$3.23,15.67
2018-03-31,53.92,$3.54,15.24
2017-12-31,59.26,$4.71,12.58
2017-09-30,61.07,$3.23,18.88
2017-06-30,55.67,$1.78,31.22
2017-03-31,49.61,$2.84,17.5
2016-12-31,47.59,$2.09,22.75
2016-09-30,40.47,$1.25,32.26
2016-06-30,38.57,$2.78,13.86
2016-03-31,40.57,$2.91,13.94
2015-12-31,36.95,$3.61,10.24
2015-09-30,37.85,$5.35,7.08
2015-06-30,45.99,$4.95,9.29
2015-03-31,38.5,$3.89,9.89
2014-12-31,36.44,$1.48,24.57
2014-09-30,36.56,$0.31,118.01
2014-06-30,45.11,$0.89,50.81
2014-03-31,44.17,$1.35,32.77
2013-12-31,47.3,$4.10,11.53
2013-09-30,48.2,$5.11,9.43
2013-06-30,39.97,$5.68,7.03
2013-03-31,41.43,$3.45,12.0
2012-12-31,38.97,$3.31,11.76
2012-09-30,37.67,$0.76,49.42
2012-06-30,36.28,$1.01,35.96
2012-03-31,37.46,$2.72,13.79
2011-12-31,34.09,$4.35,7.83
2011-09-30,27.43,$4.51,6.08
2011-06-30,39.16,$3.05,12.83
2011-03-31,43.62,$3.11,14.04
2010-12-31,40.2,$2.83,14.22
2010-09-30,30.95,$3.87,8.0
2010-06-30,21.4,$5.06,4.23
2010-03-31,28.46,$4.63,6.14
2009-12-31,25.66,$1.52,16.84
