Avnet Price to Free Cash Flow Ratio Historical Data,Avnet Price to Free Cash Flow Ratio Historical Data,Avnet Price to Free Cash Flow Ratio Historical Data,Avnet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,48.15,,4.01
2024-12-31,52.32,$12.02,4.35
2024-09-30,53.99,$7.14,7.56
2024-06-30,50.85,$5.05,10.07
2024-03-31,48.69,$4.38,11.12
2023-12-31,49.17,$-0.74,0.0
2023-09-30,46.7,$-3.95,0.0
2023-06-30,48.58,$-9.73,0.0
2023-03-31,43.24,$-13.90,0.0
2022-12-31,39.52,$-11.46,0.0
2022-09-30,34.1,$-9.30,0.0
2022-06-30,40.2,$-2.69,0.0
2022-03-31,37.85,$-1.71,0.0
2021-12-31,38.21,$-4.21,0.0
2021-09-30,34.03,$-1.06,0.0
2021-06-30,36.67,$0.41,90.5
2021-03-31,37.79,$4.28,8.82
2020-12-31,31.79,$5.35,5.94
2020-09-30,23.24,$5.98,3.88
2020-06-30,24.89,$6.54,3.81
2020-03-31,22.23,$6.65,3.35
2019-12-31,37.34,$7.93,4.71
2019-09-30,38.93,$6.39,6.09
2019-06-30,39.43,$3.72,10.6
2019-03-31,37.6,$2.51,14.98
2018-12-31,31.15,$0.60,51.52
2018-09-30,38.45,$0.98,39.25
2018-06-30,36.69,$0.81,45.06
2018-03-31,35.55,$-2.33,0.0
2017-12-31,33.58,$-6.14,0.0
2017-09-30,33.16,$-4.78,0.0
2017-06-30,32.65,$-3.80,0.0
2017-03-31,38.25,$-3.04,0.0
2016-12-31,39.63,$1.90,20.88
2016-09-30,34.05,$0.88,38.81
2016-06-30,33.46,$0.67,49.96
2016-03-31,36.44,$3.62,10.06
2015-12-31,35.1,$2.33,15.04
2015-09-30,34.84,$3.35,10.41
2015-06-30,33.42,$3.27,10.21
2015-03-31,36.04,$1.04,34.75
2014-12-31,34.72,$3.26,10.64
2014-09-30,33.37,$1.37,24.44
2014-06-30,35.5,$0.81,43.57
2014-03-31,37.15,$2.61,14.26
2013-12-31,35.1,$0.30,116.81
2013-09-30,33.07,$2.78,11.89
2013-06-30,26.54,$4.28,6.2
2013-03-31,28.59,$4.04,7.08
2012-12-31,24.18,$4.05,5.97
2012-09-30,22.97,$4.65,4.94
2012-06-30,24.37,$2.68,9.11
2012-03-31,28.74,$2.78,10.34
2011-12-31,24.55,$3.76,6.53
2011-09-30,20.6,$0.27,76.74
2011-06-30,25.18,$0.91,27.76
2011-03-31,26.92,$0.00,0.0
2010-12-31,26.09,$-1.52,0.0
2010-09-30,21.33,$-1.47,0.0
2010-06-30,19.04,$-0.56,0.0
2010-03-31,23.69,$0.83,28.59
2009-12-31,23.82,$6.04,3.94
