MBIA Price to Free Cash Flow Ratio Historical Data,MBIA Price to Free Cash Flow Ratio Historical Data,MBIA Price to Free Cash Flow Ratio Historical Data,MBIA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.54,,0.0
2024-12-31,6.46,$-3.71,0.0
2024-09-30,3.57,$-3.81,0.0
2024-06-30,5.49,$-3.41,0.0
2024-03-31,6.76,$-4.08,0.0
2023-12-31,6.12,$-4.16,0.0
2023-09-30,3.28,$-15.31,0.0
2023-06-30,3.93,$-14.64,0.0
2023-03-31,4.21,$-14.61,0.0
2022-12-31,5.84,$-8.39,0.0
2022-09-30,4.18,$5.87,0.71
2022-06-30,5.62,$3.95,1.42
2022-03-31,7.0,$5.07,1.38
2021-12-31,7.18,$10.31,0.7
2021-09-30,5.84,$8.02,0.73
2021-06-30,5.0,$5.83,0.86
2021-03-31,4.37,$5.27,0.83
2020-12-31,2.99,$-6.60,0.0
2020-09-30,2.76,$-6.65,0.0
2020-06-30,3.3,$-5.29,0.0
2020-03-31,3.25,$-4.86,0.0
2019-12-31,4.23,$-4.54,0.0
2019-09-30,4.2,$-5.27,0.0
2019-06-30,4.23,$-2.87,0.0
2019-03-31,4.33,$-3.27,0.0
2018-12-31,4.06,$-3.60,0.0
2018-09-30,4.86,$-3.46,0.0
2018-06-30,4.11,$-3.25,0.0
2018-03-31,4.21,$-2.94,0.0
2017-12-31,3.33,$-5.49,0.0
2017-09-30,3.96,$-5.79,0.0
2017-06-30,4.29,$-5.27,0.0
2017-03-31,3.85,$-5.12,0.0
2016-12-31,4.87,$-1.13,0.0
2016-09-30,3.54,$-1.57,0.0
2016-06-30,3.11,$-0.04,0.0
2016-03-31,4.02,$0.00,0.0
2015-12-31,2.95,$-0.35,0.0
2015-09-30,2.76,$0.34,8.04
2015-06-30,2.73,$0.44,6.2
2015-03-31,4.23,$0.37,11.54
2014-12-31,4.34,$-1.81,0.0
2014-09-30,4.17,$2.34,1.79
2014-06-30,5.02,$1.34,3.74
2014-03-31,6.36,$7.77,0.82
2013-12-31,5.43,$9.59,0.57
2013-09-30,4.65,$4.83,0.96
2013-06-30,6.05,$4.81,1.26
2013-03-31,4.67,$-4.65,0.0
2012-12-31,3.57,$-5.45,0.0
2012-09-30,4.61,$-12.47,0.0
2012-06-30,4.92,$-14.33,0.0
2012-03-31,4.46,$-12.14,0.0
2011-12-31,5.27,$-13.67,0.0
2011-09-30,3.31,$-8.68,0.0
2011-06-30,3.95,$-7.25,0.0
2011-03-31,4.56,$-5.95,0.0
2010-12-31,5.45,$-4.67,0.0
2010-09-30,4.57,$-5.60,0.0
2010-06-30,2.55,$-7.51,0.0
2010-03-31,2.85,$-9.73,0.0
2009-12-31,1.81,$-10.56,0.0
