LiveRamp Holdings Price to Free Cash Flow Ratio Historical Data,LiveRamp Holdings Price to Free Cash Flow Ratio Historical Data,LiveRamp Holdings Price to Free Cash Flow Ratio Historical Data,LiveRamp Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.15,,15.61
2024-12-31,30.37,$1.74,17.46
2024-09-30,24.78,$1.27,19.49
2024-06-30,30.94,$0.96,32.1
2024-03-31,34.5,$1.49,23.11
2023-12-31,37.88,$1.57,24.08
2023-09-30,28.84,$1.59,18.09
2023-06-30,28.56,$1.35,21.2
2023-03-31,21.93,$0.45,48.92
2022-12-31,23.44,$0.82,28.45
2022-09-30,18.16,$0.95,19.19
2022-06-30,25.81,$0.82,31.51
2022-03-31,37.39,$1.08,34.66
2021-12-31,47.95,$-0.03,0.0
2021-09-30,47.23,$-0.18,0.0
2021-06-30,46.85,$-0.22,0.0
2021-03-31,51.88,$-0.34,0.0
2020-12-31,73.19,$-0.08,0.0
2020-09-30,51.77,$-0.11,0.0
2020-06-30,42.47,$-0.66,0.0
2020-03-31,32.92,$-0.58,0.0
2019-12-31,48.07,$-0.13,0.0
2019-09-30,42.96,$-0.49,0.0
2019-06-30,48.48,$-0.40,0.0
2019-03-31,54.57,$-0.16,0.0
2018-12-31,38.63,$-0.79,0.0
2018-09-30,49.41,$-0.48,0.0
2018-06-30,29.95,$-0.32,0.0
2018-03-31,22.71,$-0.34,0.0
2017-12-31,27.56,$-1.06,0.0
2017-09-30,24.64,$-0.76,0.0
2017-06-30,25.98,$-0.26,0.0
2017-03-31,28.47,$-0.37,0.0
2016-12-31,26.8,$0.87,30.64
2016-09-30,26.65,$0.72,37.27
2016-06-30,21.99,$0.53,41.25
2016-03-31,21.44,$0.66,32.42
2015-12-31,20.92,$0.48,43.92
2015-09-30,19.76,$0.43,46.33
2015-06-30,17.58,$0.25,70.29
2015-03-31,18.49,$-0.19,0.0
2014-12-31,20.27,$-0.73,0.0
2014-09-30,16.55,$-0.32,0.0
2014-06-30,21.69,$0.10,215.39
2014-03-31,34.4,$0.61,56.69
2013-12-31,36.98,$1.64,22.52
2013-09-30,28.39,$1.29,21.98
2013-06-30,22.68,$1.31,17.37
2013-03-31,20.4,$1.17,17.47
2012-12-31,17.46,$1.03,16.95
2012-09-30,18.27,$1.59,11.47
2012-06-30,15.11,$1.79,8.44
2012-03-31,14.68,$2.15,6.84
2011-12-31,12.21,$2.04,6.0
2011-09-30,10.64,$1.74,6.12
2011-06-30,13.11,$1.43,9.14
2011-03-31,14.35,$1.28,11.2
2010-12-31,17.15,$1.64,10.47
2010-09-30,15.86,$1.87,8.48
2010-06-30,14.69,$2.18,6.75
2010-03-31,17.94,$2.17,8.26
2009-12-31,13.43,$4.26,3.15
