Xperi Price to Free Cash Flow Ratio Historical Data,Xperi Price to Free Cash Flow Ratio Historical Data,Xperi Price to Free Cash Flow Ratio Historical Data,Xperi Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.03,,0.0
2024-12-31,10.27,$-1.60,0.0
2024-09-30,9.19,$-1.11,0.0
2024-06-30,8.12,$-0.43,0.0
2024-03-31,11.87,$-0.40,0.0
2023-12-31,10.79,$-0.29,0.0
2023-09-30,9.61,$-1.19,0.0
2023-06-30,12.77,$-1.50,0.0
2023-03-31,10.57,$-1.59,0.0
2022-12-31,8.29,$-1.01,0.0
2022-09-30,13.54,$0.17,81.29
2022-06-30,13.78,$-0.70,0.0
2022-03-31,16.49,$-0.54,0.0
