Checkpoint Therapeutics Price to Free Cash Flow Ratio Historical Data,Checkpoint Therapeutics Price to Free Cash Flow Ratio Historical Data,Checkpoint Therapeutics Price to Free Cash Flow Ratio Historical Data,Checkpoint Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.06,,0.0
2024-09-30,2.24,$-1.05,0.0
2024-06-30,2.15,$-1.23,0.0
2024-03-31,2.05,$-1.54,0.0
2023-12-31,2.29,$-2.54,0.0
2023-09-30,1.7,$-3.78,0.0
2023-06-30,2.47,$-4.65,0.0
2023-03-31,2.25,$-5.40,0.0
2022-12-31,5.11,$-6.51,0.0
2022-09-30,10.4,$-6.09,0.0
2022-06-30,10.3,$-5.61,0.0
2022-03-31,17.7,$-5.10,0.0
2021-12-31,31.1,$-3.46,0.0
2021-09-30,33.0,$-3.05,0.0
2021-06-30,29.5,$-3.04,0.0
2021-03-31,31.4,$-2.73,0.0
2020-12-31,26.5,$-2.96,0.0
2020-09-30,26.8,$-3.30,0.0
2020-06-30,19.8,$-3.32,0.0
2020-03-31,15.1,$-4.40,0.0
2019-12-31,17.2,$-6.05,0.0
2019-09-30,24.9,$-7.63,0.0
2019-06-30,30.3,$-9.02,0.0
2019-03-31,28.6,$-9.48,0.0
2018-12-31,18.2,$-9.04,0.0
2018-09-30,35.75,$-8.12,0.0
2018-06-30,29.8,$-7.59,0.0
2018-03-31,43.9,$-8.94,0.0
