F.N.B Price to Free Cash Flow Ratio Historical Data,F.N.B Price to Free Cash Flow Ratio Historical Data,F.N.B Price to Free Cash Flow Ratio Historical Data,F.N.B Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.55,,9.77
2024-12-31,14.78,$1.39,10.66
2024-09-30,14.01,$0.52,27.17
2024-06-30,13.47,$1.42,9.45
2024-03-31,13.88,$1.56,8.92
2023-12-31,13.44,$0.92,14.56
2023-09-30,10.43,$1.48,7.03
2023-06-30,10.95,$1.61,6.81
2023-03-31,10.99,$2.18,5.03
2022-12-31,12.25,$3.17,3.86
2022-09-30,10.8,$3.12,3.46
2022-06-30,10.01,$2.44,4.1
2022-03-31,11.36,$1.77,6.42
2021-12-31,10.97,$1.46,7.52
2021-09-30,10.4,$1.63,6.39
2021-06-30,10.92,$1.60,6.84
2021-03-31,11.15,$1.51,7.38
2020-12-31,8.26,$0.22,37.34
2020-09-30,5.82,$-0.02,0.0
2020-06-30,6.33,$0.44,14.49
2020-03-31,6.13,$-0.02,0.0
2019-12-31,10.43,$0.65,15.97
2019-09-30,9.38,$0.56,16.61
2019-06-30,9.47,$0.40,23.85
2019-03-31,8.43,$1.17,7.19
2018-12-31,7.75,$1.77,4.38
2018-09-30,9.93,$2.02,4.92
2018-06-30,10.38,$2.14,4.84
2018-03-31,10.31,$1.37,7.54
2017-12-31,10.5,$0.73,14.38
2017-09-30,10.57,$0.64,16.48
2017-06-30,10.57,$0.41,25.99
2017-03-31,11.0,$0.69,15.9
2016-12-31,11.77,$1.12,10.5
2016-09-30,8.96,$0.93,9.66
2016-06-30,9.05,$1.01,8.98
2016-03-31,9.3,$1.28,7.26
2015-12-31,9.45,$1.21,7.79
2015-09-30,9.1,$1.36,6.68
2015-06-30,9.96,$1.33,7.5
2015-03-31,9.06,$1.41,6.41
2014-12-31,9.1,$2.52,3.61
2014-09-30,8.12,$2.66,3.06
2014-06-30,8.59,$2.62,3.28
2014-03-31,8.9,$3.49,2.55
2013-12-31,8.3,$2.24,3.7
2013-09-30,7.9,$2.18,3.63
2013-06-30,7.79,$2.17,3.59
2013-03-31,7.72,$1.39,5.55
2012-12-31,6.71,$3.78,1.78
2012-09-30,7.0,$3.63,1.93
2012-06-30,6.72,$3.59,1.87
2012-03-31,7.38,$3.53,2.09
2011-12-31,6.84,$2.18,3.14
2011-09-30,5.12,$2.31,2.22
2011-06-30,6.1,$2.23,2.74
2011-03-31,6.14,$2.29,2.68
2010-12-31,5.66,$1.34,4.23
2010-09-30,4.87,$1.12,4.34
2010-06-30,4.49,$1.17,3.84
2010-03-31,4.47,$1.11,4.03
2009-12-31,3.69,$1.05,3.52
