Penske Automotive Price to Free Cash Flow Ratio Historical Data,Penske Automotive Price to Free Cash Flow Ratio Historical Data,Penske Automotive Price to Free Cash Flow Ratio Historical Data,Penske Automotive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,149.97,,11.98
2024-12-31,152.44,$12.52,12.18
2024-09-30,161.22,$9.88,16.32
2024-06-30,146.97,$12.05,12.2
2024-03-31,158.79,$13.27,11.96
2023-12-31,156.43,$11.02,14.19
2023-09-30,161.95,$13.96,11.6
2023-06-30,160.84,$12.61,12.76
2023-03-31,136.24,$15.04,9.06
2022-12-31,109.93,$16.25,6.77
2022-09-30,93.68,$12.21,7.67
2022-06-30,99.18,$13.07,7.59
2022-03-31,88.38,$15.30,5.78
2021-12-31,100.65,$13.77,7.31
2021-09-30,94.05,$18.90,4.98
2021-06-30,70.21,$14.44,4.86
2021-03-31,74.24,$13.25,5.6
2020-12-31,54.59,$12.85,4.25
2020-09-30,43.5,$7.10,6.12
2020-06-30,35.33,$10.48,3.37
2020-03-31,25.55,$5.52,4.63
2019-12-31,45.47,$3.64,12.48
2019-09-30,42.47,$5.52,7.69
2019-06-30,42.11,$2.44,17.29
2019-03-31,39.4,$2.95,13.35
2018-12-31,35.26,$3.81,9.26
2018-09-30,41.11,$5.52,7.45
2018-06-30,40.35,$5.81,6.95
2018-03-31,37.91,$4.03,9.41
2017-12-31,40.63,$4.64,8.76
2017-09-30,40.11,$1.87,21.48
2017-06-30,36.73,$2.79,13.16
2017-03-31,38.88,$3.44,11.3
2016-12-31,42.82,$1.96,21.89
2016-09-30,39.53,$3.16,12.49
2016-06-30,25.63,$1.70,15.03
2016-03-31,30.64,$0.85,36.17
2015-12-31,33.94,$2.21,15.36
2015-09-30,38.63,$2.98,12.94
2015-06-30,41.37,$2.71,15.27
2015-03-31,40.7,$2.77,14.69
2014-12-31,38.62,$2.03,19.05
2014-09-30,31.8,$1.77,17.94
2014-06-30,38.62,$2.42,15.93
2014-03-31,33.22,$2.07,16.03
2013-12-31,36.48,$1.37,26.6
2013-09-30,32.92,$1.20,27.38
2013-06-30,23.43,$0.69,33.93
2013-03-31,25.47,$1.18,21.6
2012-12-31,22.87,$1.95,11.71
2012-09-30,22.77,$0.82,27.8
2012-06-30,15.99,$1.76,9.07
2012-03-31,18.47,$1.27,14.52
2011-12-31,14.37,$0.06,255.31
2011-09-30,11.89,$1.86,6.4
2011-06-30,16.83,$1.10,15.33
2011-03-31,14.77,$1.14,12.96
2010-12-31,12.85,$1.44,8.94
2010-09-30,9.74,$0.33,29.44
2010-06-30,8.38,$0.43,19.53
2010-03-31,10.64,$0.90,11.78
2009-12-31,11.2,$2.35,4.77
