Vizsla Silver Price to Free Cash Flow Ratio Historical Data,Vizsla Silver Price to Free Cash Flow Ratio Historical Data,Vizsla Silver Price to Free Cash Flow Ratio Historical Data,Vizsla Silver Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.36,,0.0
2025-01-31,2.06,$-0.11,0.0
2024-10-31,2.07,$-0.13,0.0
2024-07-31,2.12,$-0.15,0.0
2024-04-30,1.32,$-0.17,0.0
2024-01-31,1.46,$-0.15,0.0
2023-10-31,1.03,$-0.16,0.0
2023-07-31,1.15,$-0.16,0.0
2023-04-30,1.44,$-0.22,0.0
2023-01-31,1.21,$-0.53,0.0
2022-10-31,1.16,$-0.49,0.0
