Intensity Therapeutics Price to Free Cash Flow Ratio Historical Data,Intensity Therapeutics Price to Free Cash Flow Ratio Historical Data,Intensity Therapeutics Price to Free Cash Flow Ratio Historical Data,Intensity Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.93,,0.0
2024-12-31,1.76,$-1.09,0.0
2024-09-30,3.82,$-1.29,0.0
2024-06-30,4.9,$-1.14,0.0
2024-03-31,5.2,$-1.15,0.0
