Heritage Financial Price to Free Cash Flow Ratio Historical Data,Heritage Financial Price to Free Cash Flow Ratio Historical Data,Heritage Financial Price to Free Cash Flow Ratio Historical Data,Heritage Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.65,,13.51
2024-12-31,24.5,$1.75,13.99
2024-09-30,21.59,$2.03,10.63
2024-06-30,17.68,$2.14,8.28
2024-03-31,18.79,$2.63,7.15
2023-12-31,20.46,$2.81,7.27
2023-09-30,15.4,$2.77,5.56
2023-06-30,15.08,$2.82,5.34
2023-03-31,19.69,$2.76,7.13
2022-12-31,27.99,$2.55,10.96
2022-09-30,24.03,$2.26,10.64
2022-06-30,22.65,$2.00,11.31
2022-03-31,22.37,$1.93,11.56
2021-12-31,21.64,$1.85,11.69
2021-09-30,22.39,$2.11,10.62
2021-06-30,21.79,$1.51,14.46
2021-03-31,24.43,$1.65,14.79
2020-12-31,20.07,$1.77,11.36
2020-09-30,15.63,$1.90,8.23
2020-06-30,16.82,$2.35,7.15
2020-03-31,16.62,$1.96,8.5
2019-12-31,23.34,$2.15,10.85
2019-09-30,22.01,$2.24,9.83
2019-06-30,24.12,$2.35,10.28
2019-03-31,24.46,$2.24,10.93
2018-12-31,23.99,$1.90,12.63
2018-09-30,28.14,$1.55,18.1
2018-06-30,27.78,$1.32,21.11
2018-03-31,24.28,$1.88,12.94
2017-12-31,24.31,$2.36,10.3
2017-09-30,23.11,$2.20,10.5
2017-06-30,20.66,$2.26,9.15
2017-03-31,19.2,$1.88,10.23
2016-12-31,19.88,$1.61,12.32
2016-09-30,13.58,$1.76,7.73
2016-06-30,13.21,$1.89,6.99
2016-03-31,13.11,$2.13,6.15
2015-12-31,13.97,$1.69,8.27
2015-09-30,13.8,$2.22,6.22
2015-06-30,13.02,$2.30,5.66
2015-03-31,12.31,$1.59,7.75
2014-12-31,12.63,$1.91,6.63
2014-09-30,11.23,$1.42,7.91
2014-06-30,11.35,$1.29,8.81
2014-03-31,11.88,$1.82,6.51
2013-12-31,11.94,$1.70,7.01
2013-09-30,10.79,$1.52,7.08
2013-06-30,10.07,$1.71,5.87
2013-03-31,9.91,$1.42,6.96
2012-12-31,9.98,$1.59,6.27
2012-09-30,9.94,$1.35,7.36
2012-06-30,9.45,$1.02,9.3
2012-03-31,8.72,$1.38,6.33
2011-12-31,8.02,$1.15,7.0
2011-09-30,6.87,$1.57,4.39
2011-06-30,8.01,$1.68,4.77
2011-03-31,8.76,$1.54,5.7
2010-12-31,8.61,$1.84,4.67
2010-09-30,8.66,$1.27,6.83
2010-06-30,9.26,$2.62,3.54
2010-03-31,9.33,$1.75,5.34
2009-12-31,8.52,$1.04,8.21
