BuzzFeed Price to Free Cash Flow Ratio Historical Data,BuzzFeed Price to Free Cash Flow Ratio Historical Data,BuzzFeed Price to Free Cash Flow Ratio Historical Data,BuzzFeed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.26,,0.0
2024-12-31,2.67,$-0.89,0.0
2024-09-30,2.67,$-0.86,0.0
2024-06-30,2.76,$-1.00,0.0
2024-03-31,0.47,$-0.91,0.0
2023-12-31,0.25,$-0.58,0.0
2023-09-30,0.38,$-0.49,0.0
2023-06-30,0.51,$-0.78,0.0
2023-03-31,1.13,$-0.71,0.0
2022-12-31,0.69,$-0.73,0.0
2022-09-30,1.56,$-3.13,0.0
2022-06-30,1.54,$-4.72,0.0
2022-03-31,5.26,$-4.23,0.0
2021-12-31,5.33,$-2.17,0.0
