Helius Medical Technologies Price to Free Cash Flow Ratio Historical Data,Helius Medical Technologies Price to Free Cash Flow Ratio Historical Data,Helius Medical Technologies Price to Free Cash Flow Ratio Historical Data,Helius Medical Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.42,,0.0
2024-09-30,0.56,$-6.91,0.0
2024-06-30,0.98,$-8.97,0.0
2024-03-31,5.83,$-15.17,0.0
2023-12-31,8.04,$-17.18,0.0
2023-09-30,9.49,$-31.41,0.0
2023-06-30,9.58,$42.70,0.22
2023-03-31,12.74,$3.02,4.22
2022-12-31,15.35,$-53.04,0.0
2022-09-30,13.78,$-93.45,0.0
2022-06-30,59.0,$-235.05,0.0
2022-03-31,165.5,$-263.27,0.0
2021-12-31,259.5,$-273.55,0.0
2021-09-30,720.0,$-335.30,0.0
2021-06-30,849.5,$-336.70,0.0
2021-03-31,899.5,$-349.92,0.0
2020-12-31,659.05,$-489.98,0.0
2020-09-30,677.08,$-653.38,0.0
2020-06-30,746.73,$-939.30,0.0
2020-03-31,577.5,"$-1,170.58",0.0
2019-12-31,1697.5,"$-1,412.82",0.0
2019-09-30,2887.5,"$-1,575.09",0.0
2019-06-30,3850.0,"$-1,451.49",0.0
2019-03-31,11655.0,"$-1,993.49",0.0
