Cardlytics Price to Free Cash Flow Ratio Historical Data,Cardlytics Price to Free Cash Flow Ratio Historical Data,Cardlytics Price to Free Cash Flow Ratio Historical Data,Cardlytics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.33,,0.0
2024-12-31,3.71,$-0.58,0.0
2024-09-30,3.2,$-0.57,0.0
2024-06-30,8.21,$-0.53,0.0
2024-03-31,14.49,$-0.51,0.0
2023-12-31,9.21,$-0.34,0.0
2023-09-30,16.5,$-0.79,0.0
2023-06-30,6.32,$-1.30,0.0
2023-03-31,3.4,$-1.76,0.0
2022-12-31,5.78,$-2.01,0.0
2022-09-30,9.4,$-1.70,0.0
2022-06-30,22.31,$-1.55,0.0
2022-03-31,54.98,$-1.64,0.0
2021-12-31,66.09,$-1.58,0.0
2021-09-30,83.94,$-1.36,0.0
2021-06-30,126.93,$-1.26,0.0
2021-03-31,109.7,$-1.01,0.0
2020-12-31,142.77,$-0.65,0.0
2020-09-30,70.57,$-0.73,0.0
2020-06-30,69.98,$-0.03,0.0
2020-03-31,34.96,$-0.01,0.0
2019-12-31,62.86,$0.02,3190.86
2019-09-30,33.52,$-0.46,0.0
2019-06-30,25.98,$-1.00,0.0
2019-03-31,16.54,$-1.47,0.0
2018-12-31,10.83,$-1.38,0.0
