Berry Global Price to Free Cash Flow Ratio Historical Data,Berry Global Price to Free Cash Flow Ratio Historical Data,Berry Global Price to Free Cash Flow Ratio Historical Data,Berry Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,70.18,,13.55
2024-12-31,64.67,$5.18,12.48
2024-09-30,62.19,$7.26,8.57
2024-06-30,53.62,$6.60,8.13
2024-03-31,55.11,$6.48,8.5
2023-12-31,61.11,$7.97,7.67
2023-09-30,55.91,$7.53,7.43
2023-06-30,57.88,$7.63,7.58
2023-03-31,52.76,$7.61,6.93
2022-12-31,53.91,$6.41,8.42
2022-09-30,41.34,$6.60,6.27
2022-06-30,48.54,$2.09,23.2
2022-03-31,51.49,$1.75,29.41
2021-12-31,65.54,$2.05,31.91
2021-09-30,54.08,$6.54,8.27
2021-06-30,57.94,$5.67,10.22
2021-03-31,54.55,$7.00,7.79
2020-12-31,49.92,$7.62,6.55
2020-09-30,42.93,$7.01,6.12
2020-06-30,39.37,$7.90,4.99
2020-03-31,29.95,$6.75,4.44
2019-12-31,42.19,$5.84,7.23
2019-09-30,34.89,$5.96,5.85
2019-06-30,46.72,$5.06,9.23
2019-03-31,47.86,$5.42,8.82
2018-12-31,42.22,$5.15,8.2
2018-09-30,42.99,$4.96,8.66
2018-06-30,40.81,$4.67,8.74
2018-03-31,48.69,$4.62,10.54
2017-12-31,52.12,$5.20,10.02
2017-09-30,50.33,$5.37,9.37
2017-06-30,50.65,$4.70,10.77
2017-03-31,43.15,$4.57,9.45
2016-12-31,43.29,$4.40,9.84
2016-09-30,38.95,$4.59,8.48
2016-06-30,34.51,$4.18,8.26
2016-03-31,32.11,$4.22,7.62
2015-12-31,32.14,$4.06,7.92
2015-09-30,26.71,$3.85,6.94
2015-06-30,28.78,$3.47,8.29
2015-03-31,32.15,$2.80,11.48
2014-12-31,28.03,$2.31,12.11
2014-09-30,22.42,$2.75,8.16
2014-06-30,22.92,$2.68,8.54
2014-03-31,20.57,$2.65,7.76
2013-12-31,21.13,$2.68,7.87
2013-09-30,17.74,$2.03,8.72
