ProKidney Price to Free Cash Flow Ratio Historical Data,ProKidney Price to Free Cash Flow Ratio Historical Data,ProKidney Price to Free Cash Flow Ratio Historical Data,ProKidney Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.94,,0.0
2024-09-30,1.92,$-1.28,0.0
2024-06-30,2.46,$-2.29,0.0
2024-03-31,1.64,$-2.16,0.0
2023-12-31,1.78,$-2.01,0.0
2023-09-30,4.58,$-1.84,0.0
2023-06-30,11.19,$-1.99,0.0
