United Airlines Holdings Inc Price to Free Cash Flow Ratio Historical Data,United Airlines Holdings Inc Price to Free Cash Flow Ratio Historical Data,United Airlines Holdings Inc Price to Free Cash Flow Ratio Historical Data,United Airlines Holdings Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,74.04,,6.26
2024-12-31,97.1,$11.82,8.21
2024-09-30,57.06,$1.16,49.05
2024-06-30,48.66,$-2.10,0.0
2024-03-31,47.88,$-0.06,0.0
2023-12-31,41.26,$-0.67,0.0
2023-09-30,42.3,$4.10,10.31
2023-06-30,54.87,$5.38,10.21
2023-03-31,44.25,$4.87,9.09
2022-12-31,37.7,$4.40,8.56
2022-09-30,32.53,$6.34,5.13
2022-06-30,35.42,$4.70,7.53
2022-03-31,46.36,$3.67,12.63
2021-12-31,43.78,$0.21,210.38
2021-09-30,47.57,$-6.23,0.0
2021-06-30,52.29,$-7.94,0.0
2021-03-31,57.54,$-13.28,0.0
2020-12-31,43.25,$-20.95,0.0
2020-09-30,34.75,$-12.30,0.0
2020-06-30,34.61,$-6.26,0.0
2020-03-31,31.55,$0.58,54.44
2019-12-31,88.09,$9.35,9.42
2019-09-30,88.41,$7.51,11.78
2019-06-30,87.55,$6.81,12.85
2019-03-31,79.78,$6.02,13.25
2018-12-31,83.73,$7.57,11.06
2018-09-30,89.06,$8.77,10.15
2018-06-30,69.73,$6.62,10.54
2018-03-31,69.47,$1.83,38.05
2017-12-31,67.4,$-1.30,0.0
2017-09-30,60.88,$-1.67,0.0
2017-06-30,75.25,$1.72,43.71
2017-03-31,70.64,$5.45,12.97
2016-12-31,72.88,$7.02,10.38
2016-09-30,52.47,$9.02,5.82
2016-06-30,41.04,$9.16,4.48
2016-03-31,59.86,$5.72,10.47
2015-12-31,57.3,$8.84,6.48
2015-09-30,53.05,$5.97,8.89
2015-06-30,53.01,$4.76,11.13
2015-03-31,67.25,$5.11,13.15
2014-12-31,66.89,$1.86,36.05
2014-09-30,46.79,$1.14,41.11
2014-06-30,41.07,$-0.17,0.0
2014-03-31,44.63,$-0.54,0.0
2013-12-31,37.83,$-1.45,0.0
2013-09-30,30.71,$-1.48,0.0
2013-06-30,31.29,$-2.39,0.0
2013-03-31,32.01,$-2.37,0.0
2012-12-31,23.38,$-2.71,0.0
2012-09-30,19.5,$-0.13,0.0
2012-06-30,24.33,$2.31,10.53
2012-03-31,21.5,$1.59,13.52
2011-12-31,18.87,$4.42,4.27
2011-09-30,19.38,$3.65,5.3
2011-06-30,22.63,$4.39,5.16
2011-03-31,22.99,$6.04,3.81
2010-12-31,23.82,$6.08,3.92
2010-09-30,23.66,$5.31,4.46
2010-06-30,20.56,$4.24,4.85
2010-03-31,19.55,$3.68,5.32
2009-12-31,12.91,$4.35,2.97
