China BAK Battery Price to Free Cash Flow Ratio Historical Data,China BAK Battery Price to Free Cash Flow Ratio Historical Data,China BAK Battery Price to Free Cash Flow Ratio Historical Data,China BAK Battery Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.83,,1.93
2024-09-30,1.25,$0.43,2.92
2024-06-30,1.37,$0.24,5.73
2024-03-31,1.04,$0.14,7.36
2023-12-31,1.05,$0.17,6.1
2023-09-30,0.82,$-0.09,0.0
2023-06-30,1.22,$-0.13,0.0
2023-03-31,0.88,$0.03,26.19
2022-12-31,0.99,$0.03,29.12
2022-09-30,1.15,$0.09,12.54
2022-06-30,1.07,$0.03,33.44
2022-03-31,1.28,$-0.18,0.0
2021-12-31,1.56,$-0.27,0.0
2021-09-30,2.33,$-0.50,0.0
2021-06-30,4.71,$-0.37,0.0
2021-03-31,5.1,$-0.24,0.0
2020-12-31,5.06,$-0.17,0.0
2020-09-30,2.02,$-0.19,0.0
2020-06-30,0.76,$-0.41,0.0
2020-03-31,0.41,$-0.42,0.0
2019-12-31,1.15,$-0.61,0.0
2019-09-30,0.6,$-0.42,0.0
2019-06-30,0.94,$-0.02,0.0
2019-03-31,1.04,$-0.05,0.0
2018-12-31,0.38,$0.05,7.22
2018-09-30,0.68,$0.43,1.6
2018-06-30,0.92,$0.15,6.04
2018-03-31,1.35,$-0.05,0.0
2017-12-31,1.48,$-0.25,0.0
2017-09-30,1.5,$0.22,6.79
2017-06-30,1.35,$-0.14,0.0
2017-03-31,1.35,$-0.30,0.0
2016-12-31,1.41,0,0.0
2016-09-30,2.25,$-1.15,0.0
2016-06-30,2.6,$0.37,7.03
2016-03-31,2.34,$0.11,22.1
2015-12-31,2.81,$-0.35,0.0
2015-09-30,2.31,$-0.31,0.0
2015-06-30,3.24,$0.81,4.01
2015-03-31,3.52,$-0.13,0.0
2014-12-31,1.85,$-0.31,0.0
2014-09-30,2.99,$-0.39,0.0
2014-06-30,2.35,$-4.00,0.0
2014-03-31,3.0,$-0.94,0.0
2013-12-31,2.22,$-0.39,0.0
2013-09-30,2.32,$-0.36,0.0
2013-06-30,1.12,$1.29,0.87
2013-03-31,1.18,$-0.80,0.0
2012-12-31,1.59,$-0.36,0.0
2012-09-30,3.05,$0.15,20.61
2012-06-30,2.9,$-0.08,0.0
2012-03-31,5.15,$-0.17,0.0
2011-12-31,3.15,$0.15,21.28
2011-09-30,4.1,$0.99,4.15
2011-06-30,5.05,$3.43,1.47
2011-03-31,9.05,$3.79,2.39
2010-12-31,9.65,$0.99,9.78
2010-09-30,9.15,$-1.74,0.0
2010-06-30,8.7,$-4.02,0.0
2010-03-31,12.05,$-3.37,0.0
2009-12-31,13.9,$-1.74,0.0
