Woodward Price to Free Cash Flow Ratio Historical Data,Woodward Price to Free Cash Flow Ratio Historical Data,Woodward Price to Free Cash Flow Ratio Historical Data,Woodward Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,186.59,,33.97
2024-12-31,166.42,$5.49,30.29
2024-09-30,171.26,$5.56,30.81
2024-06-30,173.85,$5.78,30.09
2024-03-31,153.45,$5.25,29.22
2023-12-31,135.29,$4.17,32.41
2023-09-30,123.28,$3.78,32.6
2023-06-30,117.77,$3.05,38.67
2023-03-31,96.25,$1.76,54.56
2022-12-31,95.29,$1.51,63.0
2022-09-30,79.01,$2.23,35.49
2022-06-30,90.88,$2.80,32.44
2022-03-31,122.5,$3.78,32.38
2021-12-31,107.18,$4.77,22.48
2021-09-30,110.69,$6.52,16.99
2021-06-30,119.99,$6.65,18.04
2021-03-31,117.64,$7.67,15.34
2020-12-31,118.35,$6.88,17.2
2020-09-30,78.0,$5.18,15.06
2020-06-30,75.39,$5.37,14.05
2020-03-31,57.7,$3.84,15.04
2019-12-31,114.69,$4.15,27.65
2019-09-30,104.27,$4.54,22.99
2019-06-30,109.26,$3.77,28.98
2019-03-31,91.48,$4.08,22.42
2018-12-31,71.5,$4.05,17.67
2018-09-30,77.69,$2.73,28.51
2018-06-30,73.71,$2.67,27.61
2018-03-31,68.6,$2.01,34.11
2017-12-31,73.13,$2.41,30.3
2017-09-30,74.03,$3.45,21.48
2017-06-30,64.35,$2.33,27.67
2017-03-31,64.55,$1.42,45.32
2016-12-31,65.51,$4.65,14.1
2016-09-30,59.17,$4.19,14.12
2016-06-30,54.49,$4.23,12.87
2016-03-31,49.07,$4.13,11.88
2015-12-31,46.74,$0.40,115.52
2015-09-30,38.22,$0.18,212.0
2015-06-30,51.54,$-0.44,0.0
2015-03-31,47.71,$0.42,114.97
2014-12-31,45.95,$0.76,60.19
2014-09-30,44.38,$1.00,44.4
2014-06-30,46.69,$1.57,29.83
2014-03-31,38.57,$1.34,28.82
2013-12-31,42.28,$1.13,37.39
2013-09-30,37.78,$1.17,32.3
2013-06-30,36.94,$1.64,22.51
2013-03-31,36.64,$2.05,17.9
2012-12-31,35.06,$1.49,23.58
2012-09-30,31.17,$1.13,27.57
2012-06-30,36.1,$1.02,35.24
2012-03-31,39.12,$0.69,56.69
2011-12-31,37.32,$0.78,47.9
2011-09-30,24.94,$0.95,26.33
2011-06-30,31.66,$0.40,78.67
2011-03-31,31.32,$0.64,48.87
2010-12-31,33.97,$1.45,23.43
2010-09-30,29.27,$2.24,13.04
2010-06-30,23.0,$3.56,6.46
2010-03-31,28.76,$4.07,7.07
2009-12-31,23.12,$3.75,6.17
