Pliant Therapeutics Price to Free Cash Flow Ratio Historical Data,Pliant Therapeutics Price to Free Cash Flow Ratio Historical Data,Pliant Therapeutics Price to Free Cash Flow Ratio Historical Data,Pliant Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.58,,0.0
2024-12-31,13.17,$-2.63,0.0
2024-09-30,11.21,$-2.29,0.0
2024-06-30,10.75,$-2.35,0.0
2024-03-31,14.9,$-1.98,0.0
2023-12-31,18.11,$-2.00,0.0
2023-09-30,17.34,$-2.45,0.0
2023-06-30,18.12,$-1.97,0.0
2023-03-31,26.6,$-2.25,0.0
2022-12-31,19.33,$-2.29,0.0
2022-09-30,20.89,$-1.96,0.0
2022-06-30,8.01,$-2.48,0.0
2022-03-31,7.01,$-2.35,0.0
2021-12-31,13.5,$-2.16,0.0
2021-09-30,16.88,$-2.79,0.0
2021-06-30,29.12,$-2.31,0.0
2021-03-31,39.33,$-2.21,0.0
