Donaldson Price to Free Cash Flow Ratio Historical Data,Donaldson Price to Free Cash Flow Ratio Historical Data,Donaldson Price to Free Cash Flow Ratio Historical Data,Donaldson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,67.85,,23.98
2025-01-31,71.19,$2.83,25.16
2024-10-31,72.89,$2.78,26.21
2024-07-31,74.26,$3.32,22.34
2024-04-30,71.4,$3.78,18.87
2024-01-31,63.64,$3.61,17.64
2023-10-31,56.58,$3.66,15.46
2023-07-31,61.41,$3.45,17.8
2023-04-30,61.85,$2.75,22.47
2023-01-31,60.46,$2.29,26.38
2022-10-31,55.5,$1.87,29.65
2022-07-31,52.35,$1.34,39.08
2022-04-30,46.98,$1.31,35.85
2022-01-31,53.1,$1.71,31.09
2021-10-31,57.04,$2.01,28.31
2021-07-31,62.71,$2.68,23.4
2021-04-30,59.36,$2.89,20.57
2021-01-31,55.92,$2.65,21.1
2020-10-31,44.52,$2.54,17.52
2020-07-31,45.12,$2.06,21.88
2020-04-30,40.73,$1.89,21.52
2020-01-31,47.99,$1.67,28.72
2019-10-31,48.63,$1.61,30.15
2019-07-31,45.85,$1.50,30.58
2019-04-30,48.94,$1.47,33.37
2019-01-31,43.05,$1.36,31.76
2018-10-31,46.51,$1.20,38.77
2018-07-31,43.08,$1.26,34.11
2018-04-30,39.82,$1.13,35.19
2018-01-31,45.4,$1.31,34.63
2017-10-31,42.15,$1.57,26.92
2017-07-31,42.24,$1.90,22.27
2017-04-30,41.01,$1.99,20.58
2017-01-31,37.28,$2.22,16.82
2016-10-31,32.1,$2.03,15.82
2016-07-31,31.6,$1.64,19.31
2016-04-30,28.45,$1.27,22.34
2016-01-31,24.38,$1.10,22.09
2015-10-31,25.98,$0.97,26.86
2015-07-31,28.76,$0.86,33.63
2015-04-30,31.84,$1.02,31.1
2015-01-31,31.01,$1.01,30.59
2014-10-31,35.12,$1.13,31.08
2014-07-31,32.63,$1.50,21.79
2014-04-30,35.26,$0.95,36.99
2014-01-31,34.45,$1.39,24.79
2013-10-31,32.96,$1.72,19.21
2013-07-31,30.06,$1.47,20.41
2013-04-30,30.06,$2.01,14.92
2013-01-31,31.0,$1.58,19.67
2012-10-31,26.52,$1.22,21.76
2012-07-31,27.98,$1.19,23.44
2012-04-30,28.34,$1.20,23.71
2012-01-31,29.5,$1.18,25.03
2011-10-31,26.07,$1.10,23.6
2011-07-31,22.48,$1.18,18.97
2011-04-30,24.78,$1.05,23.67
2011-01-31,23.66,$1.03,23.05
2010-10-31,19.63,$0.96,20.54
2010-07-31,19.07,$1.01,18.83
2010-04-30,18.55,$1.14,16.21
2010-01-31,15.27,$1.44,10.64
2009-10-31,14.21,$1.85,7.67
