Olympic Steel Price to Free Cash Flow Ratio Historical Data,Olympic Steel Price to Free Cash Flow Ratio Historical Data,Olympic Steel Price to Free Cash Flow Ratio Historical Data,Olympic Steel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.23,,91.24
2024-12-31,32.81,$0.36,90.09
2024-09-30,38.86,$4.28,9.08
2024-06-30,44.51,$6.15,7.23
2024-03-31,70.16,$8.77,8.0
2023-12-31,65.88,$13.31,4.95
2023-09-30,55.39,$15.83,3.5
2023-06-30,48.18,$16.65,2.89
2023-03-31,51.18,$17.16,2.98
2022-12-31,32.84,$14.65,2.24
2022-09-30,22.25,$5.61,3.97
2022-06-30,25.03,$-0.58,0.0
2022-03-31,37.29,$-9.02,0.0
2021-12-31,22.71,$-12.84,0.0
2021-09-30,23.52,$-8.14,0.0
2021-06-30,28.35,$-3.91,0.0
2021-03-31,28.39,$3.61,7.87
2020-12-31,12.84,$4.63,2.77
2020-09-30,10.93,$4.24,2.57
2020-06-30,11.28,$6.02,1.87
2020-03-31,9.92,$9.30,1.07
2019-12-31,17.14,$10.40,1.65
2019-09-30,13.76,$8.70,1.58
2019-06-30,13.02,$4.16,3.13
2019-03-31,15.11,$-2.48,0.0
2018-12-31,13.57,$-6.65,0.0
2018-09-30,19.83,$-5.17,0.0
2018-06-30,19.38,$-5.33,0.0
2018-03-31,19.45,$-4.52,0.0
2017-12-31,20.37,$-2.48,0.0
2017-09-30,20.83,$-4.72,0.0
2017-06-30,18.42,$-5.85,0.0
2017-03-31,17.53,$-4.03,0.0
2016-12-31,22.87,$-1.45,0.0
2016-09-30,20.84,$1.97,10.56
2016-06-30,25.73,$5.95,4.32
2016-03-31,16.29,$7.94,2.05
2015-12-31,10.88,$8.95,1.22
2015-09-30,9.33,$7.35,1.27
2015-06-30,16.33,$2.54,6.42
2015-03-31,12.59,$-0.37,0.0
2014-12-31,16.61,$-4.26,0.0
2014-09-30,19.19,$-5.99,0.0
2014-06-30,23.07,$-2.43,0.0
2014-03-31,26.73,$0.76,35.36
2013-12-31,26.97,$3.49,7.74
2013-09-30,25.84,$7.17,3.6
2013-06-30,22.77,$7.51,3.03
2013-03-31,22.19,$4.78,4.64
2012-12-31,20.54,$0.44,46.52
2012-09-30,15.64,$-2.29,0.0
2012-06-30,15.2,$-3.38,0.0
2012-03-31,22.19,$-4.27,0.0
2011-12-31,21.54,$-2.16,0.0
2011-09-30,15.63,$-3.58,0.0
2011-06-30,25.38,$-6.77,0.0
2011-03-31,30.23,$-4.90,0.0
2010-12-31,26.4,$-5.18,0.0
2010-09-30,21.15,$-4.15,0.0
2010-06-30,21.11,$1.84,11.48
2010-03-31,29.98,$4.88,6.14
2009-12-31,29.9,$4.18,7.16
