Biosig Technologies Price to Free Cash Flow Ratio Historical Data,Biosig Technologies Price to Free Cash Flow Ratio Historical Data,Biosig Technologies Price to Free Cash Flow Ratio Historical Data,Biosig Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.67,,0.0
2024-09-30,0.47,$-0.71,0.0
2024-06-30,0.47,$-1.08,0.0
2024-03-31,0.66,$-1.59,0.0
2023-12-31,4.75,$-2.38,0.0
2023-09-30,4.89,$-3.08,0.0
2023-06-30,12.5,$-3.41,0.0
2023-03-31,11.4,$-4.33,0.0
2022-12-31,4.2,$-5.08,0.0
2022-09-30,6.4,$-5.93,0.0
2022-06-30,6.58,$-6.85,0.0
2022-03-31,11.5,$-7.45,0.0
2021-12-31,22.3,$-8.04,0.0
2021-09-30,29.8,$-8.70,0.0
2021-06-30,38.6,$-8.57,0.0
2021-03-31,43.1,$-9.37,0.0
2020-12-31,39.0,$-9.56,0.0
2020-09-30,49.3,$-9.13,0.0
2020-06-30,72.0,$-9.22,0.0
2020-03-31,41.9,$-8.03,0.0
2019-12-31,59.2,$-7.57,0.0
2019-09-30,82.5,$-7.74,0.0
2019-06-30,93.9,$-10.82,0.0
