Honest Price to Free Cash Flow Ratio Historical Data,Honest Price to Free Cash Flow Ratio Historical Data,Honest Price to Free Cash Flow Ratio Historical Data,Honest Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.02,,497.03
2024-12-31,6.93,$0.01,686.14
2024-09-30,3.57,$0.28,12.9
2024-06-30,2.92,$0.19,15.35
2024-03-31,4.05,$0.22,18.19
2023-12-31,3.3,$0.19,17.81
2023-09-30,1.26,$-0.20,0.0
2023-06-30,1.68,$-0.53,0.0
2023-03-31,1.8,$-0.72,0.0
2022-12-31,3.01,$-0.84,0.0
2022-09-30,3.5,$-0.70,0.0
2022-06-30,2.92,$-0.34,0.0
2022-03-31,5.21,$-0.70,0.0
