The9 Price to Free Cash Flow Ratio Historical Data,The9 Price to Free Cash Flow Ratio Historical Data,The9 Price to Free Cash Flow Ratio Historical Data,The9 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.01,,0.0
2013-06-30,1119.0,"$-1,021.25",0.0
2013-03-31,774.0,"$-1,021.25",0.0
2012-12-31,885.0,"$-1,021.25",0.0
2012-09-30,1419.0,$-605.41,0.0
2012-06-30,1737.0,$-605.41,0.0
2012-03-31,1731.0,$-605.41,0.0
2011-12-31,2136.0,$-605.41,0.0
2011-09-30,1089.0,$-459.46,0.0
2011-06-30,1665.0,$-459.46,0.0
2011-03-31,1965.0,$-459.46,0.0
2010-12-31,2088.0,$-459.46,0.0
2010-09-30,1557.0,$-217.93,0.0
2010-06-30,1194.0,$-217.93,0.0
2010-03-31,2109.0,$-217.93,0.0
2009-12-31,2166.0,$-217.93,0.0
