AMMO Price to Free Cash Flow Ratio Historical Data,AMMO Price to Free Cash Flow Ratio Historical Data,AMMO Price to Free Cash Flow Ratio Historical Data,AMMO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.4,,15.15
2024-06-30,1.68,$0.09,18.18
2024-03-31,2.75,$0.21,13.21
2023-12-31,2.1,$0.32,6.53
2023-09-30,2.02,$0.25,8.14
2023-06-30,2.13,$0.30,7.2
2023-03-31,1.97,$0.20,10.03
2022-12-31,1.73,$0.39,4.47
2022-09-30,2.93,$0.43,6.81
2022-06-30,3.85,$-0.21,0.0
2022-03-31,4.8,$-0.14,0.0
2021-12-31,5.45,$-0.66,0.0
2021-09-30,6.15,$-0.76,0.0
2021-06-30,9.79,$-0.28,0.0
2021-03-31,5.92,$-0.40,0.0
2020-12-31,3.3,$-0.33,0.0
