Cullinan Therapeutics Price to Free Cash Flow Ratio Historical Data,Cullinan Therapeutics Price to Free Cash Flow Ratio Historical Data,Cullinan Therapeutics Price to Free Cash Flow Ratio Historical Data,Cullinan Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.72,,0.0
2024-12-31,12.18,$-2.70,0.0
2024-09-30,16.74,$-2.38,0.0
2024-06-30,17.44,$-2.53,0.0
2024-03-31,17.04,$-2.87,0.0
2023-12-31,10.19,$-3.24,0.0
2023-09-30,9.05,$-3.23,0.0
2023-06-30,10.76,$-3.78,0.0
2023-03-31,10.23,$-3.50,0.0
2022-12-31,10.55,$-2.74,0.0
2022-09-30,12.82,$-2.59,0.0
2022-06-30,12.82,$-1.62,0.0
2022-03-31,10.47,$-1.47,0.0
2021-12-31,15.43,$-1.01,0.0
