Oceaneering Price to Free Cash Flow Ratio Historical Data,Oceaneering Price to Free Cash Flow Ratio Historical Data,Oceaneering Price to Free Cash Flow Ratio Historical Data,Oceaneering Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.74,,23.11
2024-12-31,26.08,$0.94,27.72
2024-09-30,24.87,$1.26,19.79
2024-06-30,23.66,$1.13,21.0
2024-03-31,23.4,$0.81,28.72
2023-12-31,21.28,$1.15,18.57
2023-09-30,25.72,$1.22,21.0
2023-06-30,18.7,$1.38,13.53
2023-03-31,17.63,$0.85,20.63
2022-12-31,17.49,$0.46,38.31
2022-09-30,7.96,$0.43,18.56
2022-06-30,10.68,$-0.01,0.0
2022-03-31,15.16,$0.93,16.25
2021-12-31,11.31,$1.83,6.19
2021-09-30,13.32,$1.44,9.25
2021-06-30,15.57,$1.39,11.2
2021-03-31,11.42,$1.28,8.93
2020-12-31,7.95,$0.78,10.13
2020-09-30,3.52,$0.18,19.35
2020-06-30,6.39,$-0.15,0.0
2020-03-31,2.94,$-0.29,0.0
2019-12-31,14.91,$0.20,76.03
2019-09-30,13.55,$-0.34,0.0
2019-06-30,20.39,$-0.16,0.0
2019-03-31,15.77,$-0.47,0.0
2018-12-31,12.1,$-0.57,0.0
2018-09-30,27.6,$-0.75,0.0
2018-06-30,25.46,$-0.55,0.0
2018-03-31,18.54,$-0.20,0.0
2017-12-31,21.14,$0.44,47.74
2017-09-30,26.27,$1.35,19.42
2017-06-30,22.69,$2.02,11.25
2017-03-31,26.75,$2.44,10.97
2016-12-31,27.71,$2.34,11.84
2016-09-30,26.87,$3.15,8.52
2016-06-30,28.88,$3.57,8.1
2016-03-31,31.89,$4.43,7.19
2015-12-31,35.63,$3.69,9.67
2015-09-30,37.08,$4.73,7.83
2015-06-30,43.68,$3.72,11.75
2015-03-31,50.31,$2.92,17.21
2014-12-31,54.59,$3.15,17.33
2014-09-30,60.26,$1.29,46.8
2014-06-30,71.96,$1.47,48.92
2014-03-31,65.94,$1.05,63.07
2013-12-31,72.15,$1.48,48.86
2013-09-30,74.1,$1.57,47.11
2013-06-30,65.68,$1.48,44.34
2013-03-31,60.23,$0.96,62.7
2012-12-31,48.64,$1.30,37.47
2012-09-30,49.79,$1.38,36.03
2012-06-30,42.99,$1.39,30.94
2012-03-31,48.22,$1.50,32.07
2011-12-31,41.17,$0.89,46.07
2011-09-30,31.43,$1.31,23.91
2011-06-30,35.89,$1.37,26.2
2011-03-31,39.48,$1.95,20.27
2010-12-31,32.49,$2.48,13.09
2010-09-30,23.77,$2.12,11.2
2010-06-30,19.82,$2.12,9.34
2010-03-31,28.02,$2.48,11.29
2009-12-31,25.83,$2.32,11.11
