Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-19,59.34,,58.18
2024-09-30,57.29,$1.02,56.16
2024-06-30,44.89,$0.45,100.12
2024-03-31,44.57,$3.81,11.71
2023-12-31,49.29,$3.51,14.03
2023-09-30,37.9,$3.77,10.07
2023-06-30,32.81,$4.78,6.87
2023-03-31,43.52,$4.28,10.17
2022-12-31,56.08,$3.72,15.06
2022-09-30,56.95,$2.96,19.24
2022-06-30,62.67,$2.69,23.29
2022-03-31,65.32,$3.14,20.83
2021-12-31,65.9,$4.82,13.66
2021-09-30,64.57,$5.74,11.25
2021-06-30,66.92,$5.70,11.73
2021-03-31,65.07,$4.09,15.93
2020-12-31,56.07,$3.16,17.73
2020-09-30,39.4,$2.46,16.0
2020-06-30,35.95,$2.77,12.99
2020-03-31,20.84,$3.55,5.86
2019-12-31,48.56,$3.35,14.51
2019-09-30,45.87,$4.13,11.1
2019-06-30,47.69,$3.43,13.91
2019-03-31,44.51,$3.79,11.76
2018-12-31,39.54,$4.60,8.59
2018-09-30,57.13,$3.76,15.18
2018-06-30,57.44,$4.08,14.08
2018-03-31,60.68,$2.72,22.3
2017-12-31,57.92,$2.73,21.22
2017-09-30,51.59,$3.07,16.8
2017-06-30,50.82,$3.41,14.92
2017-03-31,54.83,$4.27,12.83
2016-12-31,53.12,$4.05,13.1
2016-09-30,37.52,$3.42,10.97
2016-06-30,36.38,$-0.07,0.0
2016-03-31,23.18,$3.11,7.44
2015-12-31,26.99,$1.99,13.55
2015-09-30,32.36,$2.41,13.41
2015-06-30,36.06,$5.35,6.74
2015-03-31,32.63,$1.55,21.02
2014-12-31,32.69,$2.01,16.27
2014-09-30,39.66,$1.62,24.45
2014-06-30,46.48,$1.59,29.15
2014-03-31,48.99,$2.76,17.74
