Achieve Life Sciences Price to Free Cash Flow Ratio Historical Data,Achieve Life Sciences Price to Free Cash Flow Ratio Historical Data,Achieve Life Sciences Price to Free Cash Flow Ratio Historical Data,Achieve Life Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.75,,0.0
2024-12-31,3.52,$-0.93,0.0
2024-09-30,4.74,$-0.88,0.0
2024-06-30,4.7,$-0.75,0.0
2024-03-31,4.55,$-0.98,0.0
2023-12-31,4.12,$-1.24,0.0
2023-09-30,4.3,$-1.77,0.0
2023-06-30,5.19,$-2.77,0.0
2023-03-31,6.8,$-3.29,0.0
2022-12-31,2.45,$-3.55,0.0
2022-09-30,3.3,$-3.79,0.0
2022-06-30,4.88,$-3.09,0.0
2022-03-31,7.57,$-3.29,0.0
2021-12-31,7.78,$-3.63,0.0
2021-09-30,8.5,$-4.18,0.0
2021-06-30,8.98,$-3.24,0.0
2021-03-31,11.58,$-3.13,0.0
2020-12-31,8.1,$-4.96,0.0
2020-09-30,8.37,$-11.14,0.0
2020-06-30,7.94,$-16.46,0.0
2020-03-31,6.54,$-25.24,0.0
2019-12-31,10.6,$-37.06,0.0
2019-09-30,34.0,$-58.65,0.0
2019-06-30,38.6,$-31.21,0.0
2019-03-31,64.6,$-39.67,0.0
2018-12-31,24.2,$-60.73,0.0
2018-09-30,63.0,$-259.90,0.0
2018-06-30,75.6,$-420.37,0.0
2018-03-31,254.0,$-415.49,0.0
2017-12-31,268.66,$-380.25,0.0
2017-09-30,406.0,$-240.34,0.0
2017-06-30,791.34,"$1,028.49",0.77
2017-03-31,972.4,$574.52,1.69
2016-12-31,1099.78,$-95.24,0.0
2016-09-30,1115.4,$-122.20,0.0
2016-06-30,2200.0,"$-2,086.52",0.0
2016-03-31,1503.7,$-41.26,0.0
2015-12-31,2662.0,$-16.68,0.0
2015-09-30,4906.0,$-925.09,0.0
2015-06-30,5126.0,$-496.18,0.0
2015-03-31,4730.0,"$-2,505.94",0.0
2014-12-31,5038.0,"$-2,114.15",0.0
2014-09-30,5874.0,"$-2,224.88",0.0
2014-06-30,8206.0,"$-3,350.85",0.0
2014-03-31,25872.0,"$-4,054.48",0.0
2013-12-31,18348.0,"$-5,421.50",0.0
2013-09-30,20394.0,"$-6,277.17",0.0
2013-06-30,21560.0,"$-6,682.72",0.0
2013-03-31,24926.0,"$-7,157.56",0.0
2012-12-31,28864.0,"$-7,123.75",0.0
2012-09-30,31174.0,"$-6,250.90",0.0
2012-06-30,29568.0,"$-5,601.82",0.0
2012-03-31,29238.0,"$-5,264.40",0.0
2011-12-31,25828.0,"$-4,600.36",0.0
2011-09-30,21560.0,"$-4,005.35",0.0
2011-06-30,37466.0,"$-4,623.55",0.0
2011-03-31,33660.0,"$-3,378.56",0.0
2010-12-31,36938.0,"$-8,420.36",0.0
2010-09-30,32667.8,"$8,849.79",3.69
2010-06-30,29590.0,"$9,911.04",2.99
2010-03-31,45166.0,"$8,546.36",5.28
2009-12-31,49016.0,"$13,301.24",3.69
