AMETEK Price to Free Cash Flow Ratio Historical Data,AMETEK Price to Free Cash Flow Ratio Historical Data,AMETEK Price to Free Cash Flow Ratio Historical Data,AMETEK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,175.93,,24.0
2024-12-31,180.26,$7.33,24.59
2024-09-30,171.46,$7.26,23.6
2024-06-30,166.19,$7.19,23.12
2024-03-31,182.02,$6.97,26.11
2023-12-31,163.85,$6.91,23.72
2023-09-30,146.59,$6.23,23.55
2023-06-30,160.34,$5.61,28.56
2023-03-31,143.71,$5.20,27.65
2022-12-31,137.91,$4.36,31.6
2022-09-30,111.77,$3.99,28.01
2022-06-30,108.1,$3.89,27.76
2022-03-31,130.77,$4.11,31.81
2021-12-31,144.14,$4.51,31.97
2021-09-30,121.39,$5.00,24.3
2021-06-30,130.48,$5.08,25.71
2021-03-31,124.66,$5.27,23.65
2020-12-31,117.84,$5.22,22.57
2020-09-30,96.7,$5.02,19.25
2020-06-30,86.79,$5.09,17.04
2020-03-31,69.8,$4.75,14.7
2019-12-31,96.4,$4.41,21.85
2019-09-30,88.62,$4.23,20.97
2019-06-30,87.54,$3.86,22.7
2019-03-31,79.82,$3.68,21.69
2018-12-31,65.02,$3.62,17.94
2018-09-30,75.84,$3.46,21.9
2018-06-30,69.05,$3.42,20.17
2018-03-31,72.56,$3.42,21.21
2017-12-31,69.09,$3.27,21.13
2017-09-30,62.88,$3.25,19.32
2017-06-30,57.59,$2.98,19.33
2017-03-31,51.35,$2.93,17.52
2016-12-31,46.07,$2.97,15.53
2016-09-30,45.21,$2.74,16.5
2016-06-30,43.66,$2.78,15.73
2016-03-31,47.11,$2.65,17.78
2015-12-31,50.42,$2.50,20.18
2015-09-30,49.14,$2.54,19.32
2015-06-30,51.37,$2.56,20.1
2015-03-31,49.19,$2.50,19.68
2014-12-31,49.18,$2.65,18.56
2014-09-30,46.84,$2.62,17.85
2014-06-30,48.69,$2.52,19.35
2014-03-31,47.87,$2.43,19.74
2013-12-31,48.91,$2.43,20.15
2013-09-30,42.69,$2.38,17.95
2013-06-30,39.18,$2.37,16.51
2013-03-31,40.11,$2.32,17.25
2012-12-31,34.7,$2.27,15.25
2012-09-30,32.69,$2.14,15.31
2012-06-30,30.63,$2.04,15.02
2012-03-31,29.72,$2.04,14.54
2011-12-31,25.76,$1.88,13.69
2011-09-30,20.15,$1.79,11.27
2011-06-30,27.39,$1.71,16.05
2011-03-31,26.73,$1.62,16.51
2010-12-31,23.88,$1.59,15.01
2010-09-30,19.34,$1.53,12.66
2010-06-30,16.24,$1.37,11.86
2010-03-31,16.74,$1.29,12.98
2009-12-31,15.42,$1.37,11.28
