Realty Income Price to Free Cash Flow Ratio Historical Data,Realty Income Price to Free Cash Flow Ratio Historical Data,Realty Income Price to Free Cash Flow Ratio Historical Data,Realty Income Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,56.46,,62.62
2024-12-31,53.41,$0.90,59.23
2024-09-30,62.58,$0.56,112.44
2024-06-30,51.41,$-1.38,0.0
2024-03-31,52.41,$-5.48,0.0
2023-12-31,54.83,$-7.28,0.0
2023-09-30,47.0,$-11.69,0.0
2023-06-30,55.49,$-11.73,0.0
2023-03-31,58.03,$-9.66,0.0
2022-12-31,57.46,$-9.77,0.0
2022-09-30,52.1,$-9.14,0.0
2022-06-30,60.43,$-10.41,0.0
2022-03-31,60.69,$-11.04,0.0
2021-12-31,62.02,$-11.47,0.0
2021-09-30,55.61,$-8.48,0.0
2021-06-30,56.64,$-6.52,0.0
2021-03-31,53.34,$-4.36,0.0
2020-12-31,51.62,$-2.65,0.0
2020-09-30,49.85,$-4.83,0.0
2020-06-30,48.27,$-4.16,0.0
2020-03-31,39.95,$-6.96,0.0
2019-12-31,58.37,$-7.65,0.0
2019-09-30,60.25,$-3.80,0.0
2019-06-30,53.69,$-4.78,0.0
2019-03-31,56.71,$-2.36,0.0
2018-12-31,48.14,$-2.45,0.0
2018-09-30,43.13,$-2.81,0.0
2018-06-30,40.31,$-1.64,0.0
2018-03-31,38.29,$-1.94,0.0
2017-12-31,41.67,$-1.41,0.0
2017-09-30,41.31,$-2.78,0.0
2017-06-30,39.42,$-3.44,0.0
2017-03-31,42.06,$-3.36,0.0
2016-12-31,40.19,$-3.57,0.0
2016-09-30,46.3,$-1.44,0.0
2016-06-30,47.56,$-0.62,0.0
2016-03-31,42.45,$-2.52,0.0
2015-12-31,34.71,$-2.20,0.0
2015-09-30,31.5,$-2.40,0.0
2015-06-30,29.15,$-2.65,0.0
2015-03-31,33.47,$-0.79,0.0
2014-12-31,30.61,$-2.77,0.0
2014-09-30,25.87,$-2.86,0.0
2014-06-30,27.82,$-4.81,0.0
2014-03-31,25.27,$-6.90,0.0
2013-12-31,22.79,$-4.79,0.0
2013-09-30,23.93,$-6.69,0.0
2013-06-30,24.91,$-7.44,0.0
2013-03-31,26.63,$-5.81,0.0
2012-12-31,23.33,$-5.24,0.0
2012-09-30,23.45,$-4.10,0.0
2012-06-30,23.7,$-4.39,0.0
2012-03-31,21.73,$-3.99,0.0
2011-12-31,19.39,$-5.22,0.0
2011-09-30,17.58,$-7.53,0.0
2011-06-30,18.02,$-4.05,0.0
2011-03-31,18.58,$-5.46,0.0
2010-12-31,17.96,$-4.47,0.0
2010-09-30,17.48,$-1.13,0.0
2010-06-30,15.52,$-1.14,0.0
2010-03-31,15.5,$1.35,11.47
2009-12-31,12.89,$1.60,8.07
