Vroom Price to Free Cash Flow Ratio Historical Data,Vroom Price to Free Cash Flow Ratio Historical Data,Vroom Price to Free Cash Flow Ratio Historical Data,Vroom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.9,,0.04
2024-09-30,9.37,$703.62,0.01
2024-06-30,9.32,$240.80,0.04
2024-03-31,13.43,$2.75,4.88
2023-12-31,0.6,$-307.69,0.0
2023-09-30,1.12,"$-1,486.25",0.0
2023-06-30,1.44,$-612.72,0.0
2023-03-31,0.9,$-569.77,0.0
2022-12-31,1.02,$-386.60,0.0
2022-09-30,1.16,$-868.56,0.0
2022-06-30,1.25,"$-1,724.35",0.0
2022-03-31,2.66,"$-1,892.95",0.0
2021-12-31,10.79,"$-1,750.64",0.0
2021-09-30,22.07,"$-2,385.38",0.0
2021-06-30,41.86,"$-2,430.82",0.0
2021-03-31,38.99,"$-1,921.51",0.0
