First BanCorp Price to Free Cash Flow Ratio Historical Data,First BanCorp Price to Free Cash Flow Ratio Historical Data,First BanCorp Price to Free Cash Flow Ratio Historical Data,First BanCorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.37,,7.68
2024-12-31,18.59,$2.39,7.77
2024-09-30,21.01,$2.28,9.19
2024-06-30,18.01,$2.22,8.11
2024-03-31,17.27,$2.01,8.61
2023-12-31,16.05,$1.95,8.24
2023-09-30,13.01,$1.99,6.55
2023-06-30,11.69,$1.97,5.95
2023-03-31,10.79,$2.28,4.73
2022-12-31,11.91,$2.19,5.43
2022-09-30,12.71,$2.12,5.99
2022-06-30,11.9,$1.89,6.29
2022-03-31,11.98,$1.87,6.4
2021-12-31,12.5,$1.83,6.82
2021-09-30,11.84,$1.98,6.0
2021-06-30,10.68,$1.78,6.01
2021-03-31,10.03,$1.40,7.18
2020-12-31,8.16,$1.30,6.29
2020-09-30,4.59,$0.99,4.65
2020-06-30,4.87,$1.11,4.38
2020-03-31,4.6,$1.30,3.55
2019-12-31,9.1,$1.26,7.23
2019-09-30,8.54,$1.43,5.99
2019-06-30,9.41,$1.33,7.09
2019-03-31,9.74,$1.28,7.61
2018-12-31,7.29,$1.34,5.43
2018-09-30,7.72,$1.10,7.02
2018-06-30,6.49,$1.16,5.58
2018-03-31,5.1,$1.10,4.63
2017-12-31,4.32,$1.06,4.09
2017-09-30,4.34,$1.25,3.48
2017-06-30,4.91,$1.11,4.43
2017-03-31,4.79,$1.03,4.67
2016-12-31,5.6,$0.89,6.32
2016-09-30,4.41,$0.81,5.41
2016-06-30,3.37,$0.95,3.56
2016-03-31,2.48,$1.08,2.3
2015-12-31,2.76,$1.19,2.32
2015-09-30,3.02,$1.02,2.97
2015-06-30,4.09,$1.12,3.66
2015-03-31,5.26,$1.19,4.42
2014-12-31,4.98,$1.16,4.31
2014-09-30,4.03,$1.42,2.84
2014-06-30,4.61,$1.85,2.49
2014-03-31,4.61,$1.79,2.58
2013-12-31,5.25,$1.61,3.27
2013-09-30,4.82,$1.39,3.47
2013-06-30,6.0,$0.90,6.67
2013-03-31,5.28,$0.78,6.76
2012-12-31,3.88,$1.06,3.67
2012-09-30,3.75,$-3.22,0.0
2012-06-30,3.36,$-0.99,0.0
2012-03-31,3.73,$0.06,59.79
2011-12-31,2.96,$1.66,1.78
2011-09-30,2.37,$22.14,0.11
2011-06-30,3.65,$6.43,0.57
2011-03-31,4.24,$7.66,0.55
2010-12-31,5.85,$18.14,0.32
2010-09-30,3.56,$8.37,0.43
2010-06-30,6.74,$31.25,0.22
2010-03-31,30.65,$35.63,0.86
2009-12-31,29.25,$32.91,0.89
