BioAtla Price to Free Cash Flow Ratio Historical Data,BioAtla Price to Free Cash Flow Ratio Historical Data,BioAtla Price to Free Cash Flow Ratio Historical Data,BioAtla Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.36,,0.0
2024-09-30,1.76,$-1.77,0.0
2024-06-30,1.37,$-2.24,0.0
2024-03-31,3.44,$-2.34,0.0
2023-12-31,2.46,$-2.18,0.0
2023-09-30,1.7,$-2.11,0.0
2023-06-30,3.0,$-2.18,0.0
2023-03-31,2.68,$-2.13,0.0
2022-12-31,8.25,$-2.33,0.0
2022-09-30,7.7,$-2.35,0.0
2022-06-30,2.85,$-2.09,0.0
2022-03-31,5.0,$-2.04,0.0
2021-12-31,19.63,$-1.83,0.0
2021-09-30,29.44,$-5.62,0.0
