Mainz Biomed Price to Free Cash Flow Ratio Historical Data,Mainz Biomed Price to Free Cash Flow Ratio Historical Data,Mainz Biomed Price to Free Cash Flow Ratio Historical Data,Mainz Biomed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.8,,0.0
2023-12-31,1.16,$-56.98,0.0
2023-09-30,2.92,$-59.52,0.0
2023-06-30,4.78,$-56.46,0.0
2023-03-31,6.28,$-52.96,0.0
2022-12-31,7.1,$-43.59,0.0
2022-09-30,6.9,$-29.96,0.0
