Farmer Brothers Price to Free Cash Flow Ratio Historical Data,Farmer Brothers Price to Free Cash Flow Ratio Historical Data,Farmer Brothers Price to Free Cash Flow Ratio Historical Data,Farmer Brothers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.16,,0.0
2024-12-31,1.8,$-0.05,0.0
2024-09-30,1.98,$0.12,17.07
2024-06-30,2.68,$0.09,31.24
2024-03-31,3.57,$-0.18,0.0
2023-12-31,3.06,$-0.72,0.0
2023-09-30,2.58,$-0.22,0.0
2023-06-30,2.77,$-0.54,0.0
2023-03-31,3.86,$-0.74,0.0
2022-12-31,4.61,$-0.30,0.0
2022-09-30,4.69,$-1.24,0.0
2022-06-30,4.69,$-0.96,0.0
2022-03-31,7.12,$-0.40,0.0
2021-12-31,7.45,$-0.38,0.0
2021-09-30,8.41,$-1.08,0.0
2021-06-30,12.69,$-0.69,0.0
2021-03-31,10.44,$-1.28,0.0
2020-12-31,4.67,$-0.67,0.0
2020-09-30,4.42,$1.21,3.65
2020-06-30,7.34,$1.36,5.4
2020-03-31,6.96,$3.36,2.07
2019-12-31,15.06,$3.24,4.65
2019-09-30,12.95,$1.00,12.97
2019-06-30,16.37,$0.18,90.09
2019-03-31,20.01,$-1.85,0.0
2018-12-31,23.33,$-2.19,0.0
2018-09-30,26.4,$-1.91,0.0
2018-06-30,30.55,$-1.56,0.0
2018-03-31,30.2,$-0.51,0.0
2017-12-31,32.15,$-1.33,0.0
2017-09-30,32.85,$-1.22,0.0
2017-06-30,30.25,$-2.31,0.0
2017-03-31,35.35,$-2.71,0.0
2016-12-31,36.7,$-2.31,0.0
2016-09-30,35.55,$-2.34,0.0
2016-06-30,32.06,$-0.72,0.0
2016-03-31,27.87,$0.18,156.84
2015-12-31,32.27,$0.47,69.01
2015-09-30,27.25,$1.53,17.82
2015-06-30,23.5,$0.49,47.86
2015-03-31,24.75,$0.54,46.03
2014-12-31,29.45,$1.05,28.17
2014-09-30,28.95,$1.29,22.37
2014-06-30,21.61,$2.01,10.76
2014-03-31,19.7,$0.83,23.86
2013-12-31,23.26,$0.80,29.06
2013-09-30,15.06,$0.68,22.21
2013-06-30,14.06,$0.75,18.75
2013-03-31,14.7,$0.92,15.97
2012-12-31,14.43,$0.39,36.87
2012-09-30,9.51,$0.67,14.25
2012-06-30,7.96,$0.24,33.59
2012-03-31,10.89,$0.36,30.66
2011-12-31,7.64,$0.68,11.24
2011-09-30,5.51,$0.40,13.83
2011-06-30,10.14,$1.10,9.24
2011-03-31,12.12,$0.78,15.57
2010-12-31,17.72,$0.20,88.21
2010-09-30,15.82,$-0.87,0.0
2010-06-30,14.8,$-1.96,0.0
2010-03-31,18.27,$-1.37,0.0
2009-12-31,19.13,$1.97,9.71
