GrowGeneration Price to Free Cash Flow Ratio Historical Data,GrowGeneration Price to Free Cash Flow Ratio Historical Data,GrowGeneration Price to Free Cash Flow Ratio Historical Data,GrowGeneration Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.23,,0.0
2024-12-31,1.69,$-0.06,0.0
2024-09-30,2.13,$-0.11,0.0
2024-06-30,2.15,$-0.20,0.0
2024-03-31,2.86,$-0.15,0.0
2023-12-31,2.51,$-0.08,0.0
2023-09-30,2.92,$-0.03,0.0
2023-06-30,3.4,$0.15,22.96
2023-03-31,3.42,$0.11,32.2
2022-12-31,3.92,$-0.01,0.0
2022-09-30,3.5,$-0.10,0.0
2022-06-30,3.59,$0.49,7.34
2022-03-31,9.21,$0.33,27.77
2021-12-31,13.05,$-0.22,0.0
2021-09-30,24.67,$-0.26,0.0
2021-06-30,48.1,$-1.03,0.0
2021-03-31,49.69,$-0.75,0.0
2020-12-31,40.22,$-0.08,0.0
2020-09-30,15.98,$-0.13,0.0
