ACV Auctions Price to Free Cash Flow Ratio Historical Data,ACV Auctions Price to Free Cash Flow Ratio Historical Data,ACV Auctions Price to Free Cash Flow Ratio Historical Data,ACV Auctions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.69,,34.51
2024-12-31,21.6,$0.45,47.51
2024-09-30,20.33,$0.31,66.59
2024-06-30,18.25,$0.00,0.0
2024-03-31,18.77,$-0.14,0.0
2023-12-31,15.15,$-0.13,0.0
2023-09-30,15.18,$0.04,373.89
2023-06-30,17.27,$0.12,148.75
2023-03-31,12.91,$-0.02,0.0
2022-12-31,8.21,$-0.50,0.0
2022-09-30,7.19,$-0.39,0.0
2022-06-30,6.54,$-0.27,0.0
2022-03-31,14.81,$-0.86,0.0
2021-12-31,18.84,$0.66,28.55
