Stronghold Digital Mining Price to Free Cash Flow Ratio Historical Data,Stronghold Digital Mining Price to Free Cash Flow Ratio Historical Data,Stronghold Digital Mining Price to Free Cash Flow Ratio Historical Data,Stronghold Digital Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-18,2.81,,0.0
2024-09-30,5.05,$-1.62,0.0
2024-06-30,4.29,$-2.18,0.0
2024-03-31,4.15,$-3.37,0.0
2023-12-31,7.3,$-4.55,0.0
2023-09-30,4.35,$-7.08,0.0
2023-06-30,4.18,$-9.24,0.0
2023-03-31,0.62,$-14.78,0.0
2022-12-31,0.48,$-38.20,0.0
2022-09-30,1.04,$-502.34,0.0
