Sight Sciences Price to Free Cash Flow Ratio Historical Data,Sight Sciences Price to Free Cash Flow Ratio Historical Data,Sight Sciences Price to Free Cash Flow Ratio Historical Data,Sight Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.94,,0.0
2024-12-31,3.64,$-0.45,0.0
2024-09-30,6.3,$-0.52,0.0
2024-06-30,6.67,$-0.74,0.0
2024-03-31,5.28,$-0.83,0.0
2023-12-31,5.16,$-0.99,0.0
2023-09-30,3.37,$-1.18,0.0
2023-06-30,8.28,$-1.39,0.0
2023-03-31,8.74,$-1.50,0.0
2022-12-31,12.21,$-1.61,0.0
2022-09-30,6.35,$-2.21,0.0
2022-06-30,8.99,$-2.85,0.0
