Monarch Casino & Resort Price to Free Cash Flow Ratio Historical Data,Monarch Casino & Resort Price to Free Cash Flow Ratio Historical Data,Monarch Casino & Resort Price to Free Cash Flow Ratio Historical Data,Monarch Casino & Resort Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,81.17,,16.49
2024-12-31,78.9,$4.92,16.03
2024-09-30,78.99,$4.69,16.83
2024-06-30,67.62,$4.69,14.43
2024-03-31,74.1,$5.01,14.8
2023-12-31,68.04,$6.33,10.75
2023-09-30,60.81,$6.52,9.32
2023-06-30,68.68,$6.71,10.24
2023-03-31,71.96,$6.47,11.12
2022-12-31,69.87,$5.15,13.58
2022-09-30,51.01,$4.45,11.46
2022-06-30,53.31,$3.71,14.38
2022-03-31,79.26,$4.43,17.88
2021-12-31,67.2,$4.18,16.08
2021-09-30,60.87,$1.12,54.46
2021-06-30,60.13,$0.73,82.51
2021-03-31,55.08,$-1.26,0.0
2020-12-31,55.63,$-3.03,0.0
2020-09-30,40.53,$-0.78,0.0
2020-06-30,30.97,$-2.53,0.0
2020-03-31,25.51,$-2.96,0.0
2019-12-31,44.12,$-3.32,0.0
2019-09-30,37.88,$-4.29,0.0
2019-06-30,38.84,$-5.13,0.0
2019-03-31,39.91,$-5.27,0.0
2018-12-31,34.66,$-4.22,0.0
2018-09-30,41.3,$-2.98,0.0
2018-06-30,40.03,$-1.33,0.0
2018-03-31,38.43,$-0.19,0.0
2017-12-31,40.73,$-0.02,0.0
2017-09-30,35.92,$0.37,97.88
2017-06-30,27.49,$0.75,36.49
2017-03-31,26.84,$0.79,34.13
2016-12-31,23.43,$1.00,23.46
2016-09-30,22.87,$0.47,49.19
2016-06-30,19.96,$0.18,109.21
2016-03-31,17.68,$0.11,159.02
2015-12-31,20.65,$0.03,596.68
2015-09-30,16.33,$0.09,178.66
2015-06-30,18.68,$0.27,68.74
2015-03-31,17.39,$0.42,41.17
2014-12-31,15.08,$0.56,26.83
2014-09-30,10.82,$0.81,13.41
2014-06-30,13.76,$0.85,16.12
2014-03-31,16.84,$0.99,17.08
2013-12-31,18.25,$1.40,13.02
2013-09-30,17.25,$1.36,12.72
2013-06-30,15.32,$1.41,10.88
2013-03-31,8.84,$1.35,6.56
2012-12-31,9.91,$0.97,10.24
2012-09-30,7.91,$0.49,16.11
2012-06-30,8.31,$0.45,18.31
2012-03-31,9.36,$0.57,16.52
2011-12-31,9.26,$0.55,16.75
2011-09-30,8.89,$1.24,7.18
2011-06-30,9.49,$1.28,7.41
2011-03-31,9.45,$1.15,8.23
2010-12-31,11.36,$1.18,9.6
2010-09-30,10.2,$1.05,9.72
2010-06-30,9.21,$0.86,10.65
2010-03-31,7.72,$0.96,8.07
2009-12-31,7.36,$0.64,11.52
