Lixte Biotechnology Holdings Price to Free Cash Flow Ratio Historical Data,Lixte Biotechnology Holdings Price to Free Cash Flow Ratio Historical Data,Lixte Biotechnology Holdings Price to Free Cash Flow Ratio Historical Data,Lixte Biotechnology Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.31,,0.0
2024-09-30,1.87,$-1.75,0.0
2024-06-30,2.37,$-1.49,0.0
2024-03-31,3.38,$-1.83,0.0
2023-12-31,2.35,$-2.24,0.0
2023-09-30,2.45,$-2.51,0.0
2023-06-30,5.88,$-3.01,0.0
2023-03-31,0.83,$-2.93,0.0
2022-12-31,0.51,$-2.92,0.0
2022-09-30,0.56,$-2.94,0.0
2022-06-30,0.74,$-2.93,0.0
2022-03-31,1.23,$-3.02,0.0
2021-12-31,1.19,$-3.07,0.0
2021-09-30,2.08,$-2.83,0.0
2021-06-30,3.03,$-2.72,0.0
2021-03-31,3.29,$-2.32,0.0
2020-12-31,3.17,$-1.89,0.0
