Empire State Realty Trust Price to Free Cash Flow Ratio Historical Data,Empire State Realty Trust Price to Free Cash Flow Ratio Historical Data,Empire State Realty Trust Price to Free Cash Flow Ratio Historical Data,Empire State Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.2,,0.0
2024-12-31,10.32,$-0.39,0.0
2024-09-30,11.05,$-0.29,0.0
2024-06-30,9.32,$0.18,52.39
2024-03-31,10.03,$0.34,29.9
2023-12-31,9.56,$0.58,16.36
2023-09-30,7.9,$0.20,39.88
2023-06-30,7.33,$0.28,26.56
2023-03-31,6.32,$0.12,51.26
2022-12-31,6.53,$-0.07,0.0
2022-09-30,6.32,$-0.03,0.0
2022-06-30,6.74,$-0.03,0.0
2022-03-31,9.37,$-0.07,0.0
2021-12-31,8.46,$-0.00,0.0
2021-09-30,9.5,$0.30,31.51
2021-06-30,11.32,$0.28,40.57
2021-03-31,10.47,$0.24,43.22
2020-12-31,8.77,$0.14,63.54
2020-09-30,5.76,$0.09,60.68
2020-06-30,6.59,$0.07,100.55
2020-03-31,8.3,$-0.03,0.0
2019-12-31,12.8,$-0.06,0.0
2019-09-30,12.99,$0.09,143.52
2019-06-30,13.38,$-0.06,0.0
2019-03-31,14.18,$0.09,149.4
2018-12-31,12.69,$0.12,104.76
2018-09-30,14.71,$-0.09,0.0
2018-06-30,15.05,$-0.02,0.0
2018-03-31,14.69,$-0.06,0.0
2017-12-31,17.85,$-0.10,0.0
2017-09-30,17.76,$0.03,641.32
2017-06-30,17.87,$0.03,591.78
2017-03-31,17.67,$0.05,357.75
2016-12-31,17.2,$0.12,145.38
2016-09-30,17.75,$0.17,104.81
2016-06-30,16.01,$0.22,71.32
2016-03-31,14.7,$0.27,54.01
2015-12-31,15.08,$0.23,65.35
2015-09-30,14.14,$0.18,77.78
2015-06-30,14.09,$-0.59,0.0
2015-03-31,15.47,$-0.61,0.0
2014-12-31,14.38,$-0.67,0.0
2014-09-30,12.23,$-1.34,0.0
