Sachem Capital Price to Free Cash Flow Ratio Historical Data,Sachem Capital Price to Free Cash Flow Ratio Historical Data,Sachem Capital Price to Free Cash Flow Ratio Historical Data,Sachem Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.13,,7.02
2024-09-30,2.44,$0.16,15.15
2024-06-30,2.43,$0.27,8.95
2024-03-31,4.05,$0.23,17.33
2023-12-31,3.4,$0.27,12.55
2023-09-30,3.01,$0.47,6.37
2023-06-30,2.87,$0.41,7.04
2023-03-31,2.95,$0.24,12.3
2022-12-31,2.62,$0.36,7.24
2022-09-30,2.46,$0.79,3.13
2022-06-30,2.92,$1.08,2.7
2022-03-31,3.58,$1.21,2.96
2021-12-31,4.08,$1.12,3.66
2021-09-30,3.66,$0.76,4.84
2021-06-30,3.51,$0.51,6.92
2021-03-31,3.35,$0.53,6.37
2020-12-31,2.67,$0.51,5.23
2020-09-30,2.41,$0.52,4.61
2020-06-30,1.73,$0.51,3.39
2020-03-31,1.02,$0.51,1.98
2019-12-31,2.48,$0.46,5.36
2019-09-30,2.63,$0.56,4.68
2019-06-30,2.89,$0.49,5.86
2019-03-31,2.39,$0.47,5.13
2018-12-31,2.07,$0.48,4.35
2018-09-30,2.06,$0.39,5.27
2018-06-30,1.97,$0.45,4.36
2018-03-31,1.62,$0.46,3.49
2017-12-31,1.79,$0.41,4.37
