Tennant Price to Free Cash Flow Ratio Historical Data,Tennant Price to Free Cash Flow Ratio Historical Data,Tennant Price to Free Cash Flow Ratio Historical Data,Tennant Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,84.51,,23.46
2024-12-31,81.53,$3.60,22.63
2024-09-30,95.72,$5.16,18.56
2024-06-30,97.83,$6.44,15.19
2024-03-31,120.86,$7.51,16.09
2023-12-31,91.89,$8.82,10.42
2023-09-30,73.27,$6.00,12.2
2023-06-30,79.89,$2.05,39.03
2023-03-31,67.26,$-0.58,0.0
2022-12-31,60.21,$-2.68,0.0
2022-09-30,55.08,$-2.94,0.0
2022-06-30,57.46,$-0.52,0.0
2022-03-31,76.12,$2.44,31.23
2021-12-31,78.04,$3.96,19.69
2021-09-30,70.99,$5.72,12.41
2021-06-30,76.41,$6.83,11.18
2021-03-31,76.24,$6.50,11.74
2020-12-31,66.76,$5.58,11.96
2020-09-30,57.24,$4.71,12.14
2020-06-30,61.45,$4.23,14.51
2020-03-31,54.59,$3.38,16.16
2019-12-31,73.18,$1.82,40.19
2019-09-30,66.2,$2.64,25.12
2019-06-30,57.12,$1.55,36.78
2019-03-31,57.73,$1.48,38.92
2018-12-31,48.28,$3.34,14.44
2018-09-30,70.37,$2.72,25.84
2018-06-30,73.0,$3.57,20.43
2018-03-31,62.39,$3.05,20.42
2017-12-31,66.75,$2.05,32.54
2017-09-30,60.63,$2.16,28.11
2017-06-30,67.36,$1.36,49.4
2017-03-31,66.11,$1.62,40.81
2016-12-31,64.6,$1.78,36.33
2016-09-30,58.63,$0.83,70.46
2016-06-30,48.59,$1.06,45.73
2016-03-31,46.26,$0.72,64.52
2015-12-31,50.36,$1.12,44.8
2015-09-30,50.12,$1.80,27.91
2015-06-30,58.1,$1.92,30.23
2015-03-31,57.95,$2.20,26.32
2014-12-31,63.78,$2.14,29.83
2014-09-30,59.12,$2.31,25.63
2014-06-30,67.07,$2.14,31.35
2014-03-31,57.49,$1.83,31.38
2013-12-31,59.23,$2.40,24.7
2013-09-30,54.0,$1.38,39.17
2013-06-30,41.9,$1.87,22.46
2013-03-31,42.0,$2.26,18.55
2012-12-31,37.87,$1.73,21.94
2012-09-30,36.72,$2.46,14.93
2012-06-30,34.12,$2.08,16.37
2012-03-31,37.43,$2.33,16.04
2011-12-31,32.93,$2.25,14.62
2011-09-30,29.84,$1.94,15.38
2011-06-30,33.55,$1.08,31.2
2011-03-31,35.17,$0.60,59.06
2010-12-31,32.0,$1.69,18.98
2010-09-30,25.61,$2.07,12.38
2010-06-30,27.92,$2.60,10.75
2010-03-31,22.51,$3.69,6.1
2009-12-31,21.4,$3.46,6.19
