RB Global Price to Free Cash Flow Ratio Historical Data,RB Global Price to Free Cash Flow Ratio Historical Data,RB Global Price to Free Cash Flow Ratio Historical Data,RB Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,98.87,,23.87
2024-12-31,90.21,$4.14,21.78
2024-09-30,80.25,$5.05,15.88
2024-06-30,75.88,$4.24,17.9
2024-03-31,75.69,$3.17,23.91
2023-12-31,66.2,$2.07,31.93
2023-09-30,61.59,$2.20,27.95
2023-06-30,58.86,$2.06,28.56
2023-03-31,54.94,$1.56,35.26
2022-12-31,55.09,$5.33,10.33
2022-09-30,59.22,$3.69,16.06
2022-06-30,61.43,$4.13,14.88
2022-03-31,55.51,$4.28,12.96
2021-12-31,57.31,$2.78,20.62
2021-09-30,57.53,$2.58,22.34
2021-06-30,55.09,$2.31,23.83
2021-03-31,54.21,$3.96,13.7
2020-12-31,64.15,$2.36,27.22
2020-09-30,54.47,$2.61,20.85
2020-06-30,37.42,$3.45,10.86
2020-03-31,31.16,$2.34,13.31
2019-12-31,38.97,$2.96,13.16
2019-09-30,36.04,$3.29,10.95
2019-06-30,29.85,$1.73,17.23
2019-03-31,30.39,$1.29,23.61
2018-12-31,29.1,$1.26,23.06
2018-09-30,31.96,$1.23,26.03
2018-06-30,30.04,$1.21,24.88
2018-03-31,27.57,$0.67,41.07
2017-12-31,26.08,$1.31,19.89
2017-09-30,27.38,$0.99,27.58
2017-06-30,24.73,$1.24,19.91
2017-03-31,28.16,$1.25,22.48
2016-12-31,28.94,$1.54,18.81
2016-09-30,29.72,$1.79,16.58
2016-06-30,28.49,$1.89,15.07
2016-03-31,22.72,$2.31,9.84
2015-12-31,20.09,$1.78,11.3
2015-09-30,21.44,$2.22,9.68
2015-06-30,22.99,$1.84,12.53
2015-03-31,20.44,$1.54,13.25
2014-12-31,21.92,$1.47,14.88
2014-09-30,18.15,$1.38,13.16
2014-06-30,19.87,$1.20,16.54
2014-03-31,19.33,$1.08,17.82
2013-12-31,18.27,$1.55,11.82
2013-09-30,15.97,$0.54,29.61
2013-06-30,15.11,$1.26,11.99
2013-03-31,16.96,$1.77,9.57
2012-12-31,16.24,$0.76,21.25
2012-09-30,14.86,$0.65,22.82
2012-06-30,16.32,$0.18,89.37
2012-03-31,18.15,$0.66,27.37
2011-12-31,16.79,$0.69,24.16
2011-09-30,15.27,$0.29,53.47
2011-06-30,20.69,$0.50,41.64
2011-03-31,21.11,$-0.43,0.0
2010-12-31,17.21,$-0.13,0.0
2010-09-30,15.42,$-0.59,0.0
2010-06-30,13.45,$-0.72,0.0
2010-03-31,15.82,$-0.40,0.0
2009-12-31,16.4,$-0.14,0.0
