AirSculpt Technologies Price to Free Cash Flow Ratio Historical Data,AirSculpt Technologies Price to Free Cash Flow Ratio Historical Data,AirSculpt Technologies Price to Free Cash Flow Ratio Historical Data,AirSculpt Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.81,,130.7
2024-09-30,5.07,$0.02,235.81
2024-06-30,4.0,$0.06,72.46
2024-03-31,6.14,$0.24,26.07
2023-12-31,7.49,$0.25,30.3
2023-09-30,6.84,$0.27,25.02
2023-06-30,8.62,$0.23,38.14
2023-03-31,5.04,$0.20,25.3
2022-12-31,3.7,$0.21,17.87
2022-09-30,6.43,$0.13,50.51
