DICK'S Sporting Goods Price to Free Cash Flow Ratio Historical Data,DICK'S Sporting Goods Price to Free Cash Flow Ratio Historical Data,DICK'S Sporting Goods Price to Free Cash Flow Ratio Historical Data,DICK'S Sporting Goods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,191.35,,23.59
2024-10-31,194.79,$8.11,24.02
2024-07-31,214.18,$8.88,24.12
2024-04-30,197.92,$13.31,14.87
2024-01-31,146.11,$10.94,13.36
2023-10-31,104.11,$12.30,8.46
2023-07-31,136.06,$11.40,11.93
2023-04-30,138.9,$5.37,25.86
2023-01-31,124.4,$5.62,22.14
2022-10-31,107.8,$2.65,40.68
2022-07-31,88.31,$3.39,26.07
2022-04-30,90.43,$7.16,12.63
2022-01-31,107.76,$11.94,9.02
2021-10-31,115.53,$13.29,8.7
2021-07-31,92.7,$13.43,6.9
2021-04-30,73.24,$21.17,3.46
2021-01-31,59.15,$14.34,4.12
2020-10-31,49.72,$14.35,3.46
2020-07-31,39.82,$12.46,3.2
2020-04-30,25.45,$1.67,15.2
2020-01-31,37.67,$2.10,17.93
2019-10-31,32.97,$0.58,56.77
2019-07-31,31.26,$1.46,21.4
2019-04-30,30.86,$3.03,10.19
2019-01-31,29.22,$5.21,5.61
2018-10-31,29.08,$5.25,5.54
2018-07-31,27.9,$4.65,6.0
2018-04-30,26.88,$2.55,10.53
2018-01-31,25.37,$2.53,10.04
2017-10-31,19.62,$1.65,11.91
2017-07-31,29.76,$2.98,10.0
2017-04-30,40.11,$3.12,12.87
2017-01-31,40.8,$3.09,13.19
2016-10-31,43.9,$2.74,16.05
2016-07-31,40.35,$2.19,18.44
2016-04-30,36.33,$1.94,18.76
2016-01-31,30.54,$2.40,12.72
2015-10-31,34.68,$2.17,16.01
2015-07-31,39.58,$2.51,15.74
2015-04-30,42.02,$2.27,18.5
2015-01-31,39.9,$2.12,18.83
2014-10-31,34.96,$1.56,22.42
2014-07-31,32.68,$1.67,19.53
2014-04-30,40.35,$1.40,28.74
2014-01-31,40.14,$0.94,42.66
2013-10-31,40.58,$0.31,132.71
2013-07-31,39.1,$1.25,31.3
2013-04-30,36.49,$1.34,27.31
2013-01-31,35.93,$1.74,20.65
2012-10-31,36.06,$1.96,18.39
2012-07-31,35.33,$1.11,31.79
2012-04-30,36.3,$1.57,23.13
2012-01-31,29.47,$1.66,17.77
2011-10-31,27.61,$2.12,13.04
2011-07-31,26.14,$2.18,12.01
2011-04-30,28.91,$1.84,15.74
2011-01-31,25.49,$1.90,13.44
2010-10-31,20.36,$1.03,19.69
2010-07-31,18.59,$1.47,12.61
2010-04-30,20.56,$1.88,10.95
2010-01-31,15.8,$2.21,7.14
2009-10-31,16.03,$-0.19,0.0
