Alico Price to Free Cash Flow Ratio Historical Data,Alico Price to Free Cash Flow Ratio Historical Data,Alico Price to Free Cash Flow Ratio Historical Data,Alico Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.44,,0.0
2024-12-31,25.93,$-4.59,0.0
2024-09-30,27.97,$5.00,5.6
2024-06-30,25.86,$6.16,4.2
2024-03-31,29.17,$6.27,4.65
2023-12-31,28.92,$8.08,3.58
2023-09-30,24.78,$-1.41,0.0
2023-06-30,25.23,$-2.02,0.0
2023-03-31,23.93,$-2.21,0.0
2022-12-31,23.56,$3.22,7.32
2022-09-30,27.81,$3.83,7.27
2022-06-30,34.48,$2.24,15.41
2022-03-31,35.87,$6.33,5.66
2021-12-31,34.86,$4.40,7.92
2021-09-30,31.8,$4.19,7.59
2021-06-30,32.59,$7.86,4.14
2021-03-31,26.96,$3.71,7.28
2020-12-31,27.83,$2.22,12.56
2020-09-30,25.53,$1.84,13.86
2020-06-30,27.7,$3.36,8.24
2020-03-31,27.51,$7.12,3.86
2019-12-31,31.67,$6.82,4.64
2019-09-30,29.99,$6.06,4.95
2019-06-30,26.7,$4.46,5.98
2019-03-31,23.9,$2.57,9.28
2018-12-31,25.85,$3.97,6.51
2018-09-30,29.56,$5.06,5.84
2018-06-30,27.68,$3.89,7.11
2018-03-31,23.7,$4.72,5.02
2017-12-31,25.65,$3.48,7.36
2017-09-30,29.63,$2.06,14.41
2017-06-30,27.11,$1.46,18.61
2017-03-31,22.83,$0.66,34.43
2016-12-31,23.42,$1.79,13.09
2016-09-30,23.12,$2.03,11.4
2016-06-30,25.98,$2.95,8.8
2016-03-31,23.66,$5.09,4.65
2015-12-31,33.09,$2.20,15.04
2015-09-30,34.66,$15.05,2.3
2015-06-30,38.67,$18.86,2.05
2015-03-31,43.65,$15.53,2.81
2014-12-31,42.55,$16.52,2.58
2014-09-30,32.37,$4.35,7.43
2014-06-30,31.8,$-0.26,0.0
2014-03-31,31.93,$-0.77,0.0
2013-12-31,32.81,$-1.07,0.0
2013-09-30,34.65,$-0.75,0.0
2013-06-30,33.69,$0.36,94.77
2013-03-31,38.77,$2.22,17.49
2012-12-31,30.65,$2.98,10.29
2012-09-30,26.08,$3.51,7.43
2012-06-30,25.47,$4.17,6.11
2012-03-31,19.25,$1.32,14.6
2011-12-31,16.1,$0.76,21.23
2011-09-30,16.21,$0.77,20.93
2011-06-30,21.15,$-1.13,0.0
2011-03-31,22.1,$0.49,44.72
2010-12-31,19.68,$0.44,44.33
2010-09-30,19.11,$0.01,1737.16
2010-06-30,18.9,$0.52,36.34
2010-03-31,20.76,$0.54,38.22
2009-12-31,23.4,$0.37,63.59
