Applied Industrial Technologies Price to Free Cash Flow Ratio Historical Data,Applied Industrial Technologies Price to Free Cash Flow Ratio Historical Data,Applied Industrial Technologies Price to Free Cash Flow Ratio Historical Data,Applied Industrial Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,228.46,,22.23
2024-12-31,239.47,$10.28,23.31
2024-09-30,222.82,$10.42,21.38
2024-06-30,193.37,$8.84,21.87
2024-03-31,196.54,$10.47,18.77
2023-12-31,171.47,$10.22,16.77
2023-09-30,153.52,$9.19,16.71
2023-06-30,143.48,$8.13,17.64
2023-03-31,140.42,$4.88,28.79
2022-12-31,124.21,$4.41,28.19
2022-09-30,101.03,$3.73,27.08
2022-06-30,94.25,$4.36,21.61
2022-03-31,100.28,$4.04,24.8
2021-12-31,99.97,$3.77,26.49
2021-09-30,87.46,$4.92,17.77
2021-06-30,88.04,$5.78,15.24
2021-03-31,87.86,$8.00,10.98
2020-12-31,74.85,$8.65,8.65
2020-09-30,52.64,$7.99,6.59
2020-06-30,59.31,$7.14,8.3
2020-03-31,43.19,$6.47,6.67
2019-12-31,62.71,$5.05,12.43
2019-09-30,53.15,$5.09,10.44
2019-06-30,57.24,$4.15,13.78
2019-03-31,55.01,$4.10,13.43
2018-12-31,49.63,$4.42,11.24
2018-09-30,71.67,$3.32,21.6
2018-06-30,64.0,$3.18,20.1
2018-03-31,66.22,$2.84,23.31
2017-12-31,61.6,$3.03,20.36
2017-09-30,59.23,$2.87,20.61
2017-06-30,52.88,$3.82,13.85
2017-03-31,55.13,$3.44,16.0
2016-12-31,52.7,$4.13,12.77
2016-09-30,41.26,$4.52,9.14
2016-06-30,39.61,$3.79,10.46
2016-03-31,37.84,$4.90,7.73
2015-12-31,35.06,$4.37,8.03
2015-09-30,32.81,$4.31,7.62
2015-06-30,33.87,$3.50,9.69
2015-03-31,38.49,$1.94,19.83
2014-12-31,38.45,$1.31,29.35
2014-09-30,38.31,$1.27,30.09
2014-06-30,42.35,$2.14,19.74
2014-03-31,40.06,$1.85,21.65
2013-12-31,40.55,$2.51,16.19
2013-09-30,42.34,$2.24,18.89
2013-06-30,39.55,$2.35,16.8
2013-03-31,36.64,$1.89,19.36
2012-12-31,34.03,$1.66,20.51
2012-09-30,33.38,$1.78,18.74
2012-06-30,29.53,$1.53,19.26
2012-03-31,32.78,$1.26,25.97
2011-12-31,27.89,$1.59,17.52
2011-09-30,21.42,$1.48,14.47
2011-06-30,27.88,$1.33,20.89
2011-03-31,25.9,$1.72,15.09
2010-12-31,25.17,$2.12,11.9
2010-09-30,23.58,$3.08,7.64
2010-06-30,19.39,$4.14,4.68
2010-03-31,18.94,$4.14,4.57
2009-12-31,16.7,$3.93,4.25
