Palladyne AI Price to Free Cash Flow Ratio Historical Data,Palladyne AI Price to Free Cash Flow Ratio Historical Data,Palladyne AI Price to Free Cash Flow Ratio Historical Data,Palladyne AI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.71,,0.0
2024-12-31,12.27,$-0.86,0.0
2024-09-30,1.79,$-1.32,0.0
2024-06-30,1.6,$-1.92,0.0
2024-03-31,1.81,$-2.50,0.0
2023-12-31,0.72,$-3.02,0.0
2023-09-30,0.85,$-3.30,0.0
2023-06-30,0.32,$-3.15,0.0
2023-03-31,0.47,$-2.97,0.0
2022-12-31,0.56,$-2.73,0.0
2022-09-30,2.22,$-2.94,0.0
2022-06-30,2.66,$-2.73,0.0
2022-03-31,6.65,$-2.77,0.0
2021-12-31,9.98,$-2.48,0.0
