TOMI Environmental Solutions Price to Free Cash Flow Ratio Historical Data,TOMI Environmental Solutions Price to Free Cash Flow Ratio Historical Data,TOMI Environmental Solutions Price to Free Cash Flow Ratio Historical Data,TOMI Environmental Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.83,,0.0
2024-09-30,0.79,$-0.15,0.0
2024-06-30,0.88,$-0.15,0.0
2024-03-31,0.68,$-0.19,0.0
2023-12-31,1.01,$-0.19,0.0
2023-09-30,0.89,$-0.15,0.0
2023-06-30,0.67,$-0.16,0.0
2023-03-31,0.67,$-0.15,0.0
2022-12-31,0.49,$-0.07,0.0
2022-09-30,0.71,$-0.06,0.0
2022-06-30,0.71,$-0.12,0.0
2022-03-31,0.91,$-0.18,0.0
2021-12-31,1.65,$-0.25,0.0
2021-09-30,1.37,$-0.31,0.0
2021-06-30,2.88,$-0.12,0.0
2021-03-31,4.05,$0.15,27.35
