Adial Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Adial Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Adial Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Adial Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.72,,0.0
2024-12-31,1.01,$-1.43,0.0
2024-09-30,1.0,$-0.98,0.0
2024-06-30,1.15,$-1.97,0.0
2024-03-31,1.33,$-3.16,0.0
2023-12-31,1.86,$-4.78,0.0
2023-09-30,2.78,$-6.73,0.0
2023-06-30,5.21,$-8.67,0.0
2023-03-31,8.75,$-10.64,0.0
2022-12-31,5.38,$-11.16,0.0
2022-09-30,8.75,$-13.18,0.0
2022-06-30,33.5,$-13.67,0.0
2022-03-31,50.25,$-14.34,0.0
2021-12-31,67.5,$-16.16,0.0
2021-09-30,107.25,$-18.26,0.0
2021-06-30,63.75,$-17.78,0.0
2021-03-31,60.5,$-15.48,0.0
2020-12-31,42.5,$-15.31,0.0
2020-09-30,55.75,$-14.10,0.0
2020-06-30,34.75,$-15.31,0.0
2020-03-31,32.5,$-15.22,0.0
2019-12-31,60.25,$-16.08,0.0
2019-09-30,37.75,$-18.02,0.0
2019-06-30,42.0,$-20.12,0.0
