Motorcar Parts Of America Price to Free Cash Flow Ratio Historical Data,Motorcar Parts Of America Price to Free Cash Flow Ratio Historical Data,Motorcar Parts Of America Price to Free Cash Flow Ratio Historical Data,Motorcar Parts Of America Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.39,,8.64
2024-12-31,7.6,$1.20,6.32
2024-09-30,7.39,$2.27,3.26
2024-06-30,6.17,$1.91,3.22
2024-03-31,8.04,$1.95,4.13
2023-12-31,9.34,$2.38,3.93
2023-09-30,8.09,$-0.60,0.0
2023-06-30,7.74,$-2.27,0.0
2023-03-31,7.44,$-1.34,0.0
2022-12-31,11.86,$-2.56,0.0
2022-09-30,15.22,$-2.29,0.0
2022-06-30,13.12,$-2.46,0.0
2022-03-31,17.83,$-2.68,0.0
2021-12-31,17.07,$-2.33,0.0
2021-09-30,19.5,$-0.91,0.0
2021-06-30,22.44,$0.81,27.6
2021-03-31,22.5,$2.17,10.35
2020-12-31,19.62,$4.15,4.73
2020-09-30,15.56,$3.68,4.23
2020-06-30,17.67,$2.46,7.19
2020-03-31,12.58,$0.25,50.83
2019-12-31,22.03,$-1.98,0.0
2019-09-30,16.9,$-3.88,0.0
2019-06-30,21.41,$-3.79,0.0
2019-03-31,18.87,$-2.73,0.0
2018-12-31,16.64,$-1.99,0.0
2018-09-30,23.45,$-1.28,0.0
2018-06-30,18.71,$-1.29,0.0
2018-03-31,21.43,$-1.22,0.0
2017-12-31,24.99,$-0.01,0.0
2017-09-30,29.46,$0.21,141.02
2017-06-30,28.24,$0.20,140.08
2017-03-31,30.73,$-0.53,0.0
2016-12-31,26.92,$-1.03,0.0
2016-09-30,28.78,$-1.58,0.0
2016-06-30,27.18,$-0.33,0.0
2016-03-31,37.98,$0.61,62.5
2015-12-31,33.81,$-0.41,0.0
2015-09-30,31.34,$-0.52,0.0
2015-06-30,30.09,$-0.73,0.0
2015-03-31,27.79,$-0.75,0.0
2014-12-31,31.09,$-0.49,0.0
2014-09-30,27.21,$0.89,30.68
2014-06-30,24.35,$0.98,24.73
2014-03-31,26.57,$0.69,38.62
2013-12-31,19.3,$0.91,21.11
2013-09-30,12.67,$-0.73,0.0
2013-06-30,9.17,$-1.25,0.0
2013-03-31,6.13,$-2.31,0.0
2012-12-31,6.57,$-1.47,0.0
2012-09-30,4.85,$-0.57,0.0
2012-06-30,4.49,$-2.17,0.0
2012-03-31,9.62,$-3.16,0.0
2011-12-31,7.5,$-3.49,0.0
2011-09-30,8.23,$-3.64,0.0
2011-06-30,15.01,$-1.46,0.0
2011-03-31,13.98,$0.74,18.81
2010-12-31,13.04,$0.71,18.31
2010-09-30,8.68,$1.94,4.47
2010-06-30,6.38,$1.18,5.39
2010-03-31,6.5,$1.43,4.55
2009-12-31,5.08,$0.13,38.51
