QUALCOMM Price to Free Cash Flow Ratio Historical Data,QUALCOMM Price to Free Cash Flow Ratio Historical Data,QUALCOMM Price to Free Cash Flow Ratio Historical Data,QUALCOMM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,157.95,,13.98
2024-12-31,153.62,$11.30,13.59
2024-09-30,169.15,$9.89,17.11
2024-06-30,197.11,$11.11,17.74
2024-03-31,166.85,$10.87,15.35
2023-12-31,141.8,$8.80,16.11
2023-09-30,108.21,$8.86,12.21
2023-06-30,115.18,$6.20,18.59
2023-03-31,122.57,$6.19,19.8
2022-12-31,104.99,$7.21,14.57
2022-09-30,107.26,$6.02,17.83
2022-06-30,120.59,$5.85,20.61
2022-03-31,143.49,$6.30,22.79
2021-12-31,171.02,$6.48,26.4
2021-09-30,120.16,$7.53,15.96
2021-06-30,132.54,$8.18,16.21
2021-03-31,122.33,$6.94,17.62
2020-12-31,139.83,$5.47,25.58
2020-09-30,107.55,$3.84,28.04
2020-06-30,82.92,$3.59,23.07
2020-03-31,61.03,$6.08,10.03
2019-12-31,79.0,$5.95,13.28
2019-09-30,67.78,$5.41,12.54
2019-06-30,67.08,$10.38,6.46
2019-03-31,49.83,$7.85,6.35
2018-12-31,49.17,$7.54,6.52
2018-09-30,61.56,$8.42,7.32
2018-06-30,47.54,$3.94,12.05
2018-03-31,46.45,$2.70,17.23
2017-12-31,53.21,$2.96,17.98
2017-09-30,42.73,$2.89,14.77
2017-06-30,45.02,$2.86,15.74
2017-03-31,46.29,$4.03,11.48
2016-12-31,52.15,$3.99,13.07
2016-09-30,54.36,$4.74,11.48
2016-06-30,42.15,$4.29,9.84
2016-03-31,39.86,$4.31,9.24
2015-12-31,38.59,$3.38,11.4
2015-09-30,41.08,$2.92,14.09
2015-06-30,47.48,$2.76,17.23
2015-03-31,52.21,$3.06,17.06
2014-12-31,55.64,$4.27,13.02
2014-09-30,55.65,$4.52,12.32
2014-06-30,58.62,$5.02,11.68
2014-03-31,58.07,$4.52,12.84
2013-12-31,54.41,$4.89,11.12
2013-09-30,49.1,$4.41,11.14
2013-06-30,44.32,$3.78,11.73
2013-03-31,48.3,$3.07,15.76
2012-12-31,44.47,$2.89,15.37
2012-09-30,44.73,$2.71,16.52
2012-06-30,39.71,$3.00,13.23
2012-03-31,48.32,$3.32,14.56
2011-12-31,38.7,$3.40,11.37
2011-09-30,34.27,$2.55,13.46
2011-06-30,39.85,$2.14,18.59
2011-03-31,38.33,$2.08,18.47
2010-12-31,34.48,$1.49,23.17
2010-09-30,31.32,$2.20,14.23
2010-06-30,22.68,$2.33,9.72
2010-03-31,28.82,$2.32,12.4
2009-12-31,31.63,$4.51,7.01
