Guild Holdings Price to Free Cash Flow Ratio Historical Data,Guild Holdings Price to Free Cash Flow Ratio Historical Data,Guild Holdings Price to Free Cash Flow Ratio Historical Data,Guild Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.72,,0.0
2024-12-31,14.11,$-10.77,0.0
2024-09-30,16.63,$-13.89,0.0
2024-06-30,14.79,$-10.15,0.0
2024-03-31,14.75,$-5.31,0.0
2023-12-31,14.09,$-1.59,0.0
2023-09-30,10.97,$-0.54,0.0
2023-06-30,11.36,$0.27,41.61
2023-03-31,10.4,$5.80,1.79
2022-12-31,10.09,$20.46,0.49
2022-09-30,9.24,$17.78,0.52
2022-06-30,10.19,$21.36,0.48
2022-03-31,10.26,$24.71,0.42
2021-12-31,14.03,$11.11,1.26
2021-09-30,12.9,$12.47,1.03
