Zura Bio Price to Free Cash Flow Ratio Historical Data,Zura Bio Price to Free Cash Flow Ratio Historical Data,Zura Bio Price to Free Cash Flow Ratio Historical Data,Zura Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.4,,0.0
2024-09-30,4.06,$-0.42,0.0
2024-06-30,3.5,$-0.36,0.0
2024-03-31,2.57,$0.36,7.23
2023-12-31,4.67,$-0.46,0.0
2023-09-30,6.6,$-1.35,0.0
2023-06-30,8.2,$0.54,15.07
2023-03-31,14.92,$-6.19,0.0
2022-12-31,10.21,$-5.27,0.0
2022-09-30,10.05,$-4.24,0.0
2022-06-30,9.95,$-6.39,0.0
