Sysco Price to Free Cash Flow Ratio Historical Data,Sysco Price to Free Cash Flow Ratio Historical Data,Sysco Price to Free Cash Flow Ratio Historical Data,Sysco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,71.19,,17.47
2024-12-31,76.46,$4.07,18.77
2024-09-30,77.54,$4.60,16.84
2024-06-30,70.4,$4.44,15.84
2024-03-31,79.53,$3.95,20.12
2023-12-31,71.17,$4.77,14.94
2023-09-30,63.78,$3.98,16.02
2023-06-30,71.17,$4.15,17.14
2023-03-31,73.61,$3.37,21.82
2022-12-31,72.4,$2.34,30.96
2022-09-30,66.52,$2.27,29.36
2022-06-30,79.69,$2.30,34.65
2022-03-31,76.37,$1.33,57.49
2021-12-31,72.62,$1.76,41.28
2021-09-30,72.58,$1.28,56.78
2021-06-30,71.02,$2.91,24.44
2021-03-31,71.92,$3.28,21.95
2020-12-31,67.05,$2.62,25.59
2020-09-30,55.78,$3.49,15.98
2020-06-30,48.59,$1.80,26.94
2020-03-31,40.13,$2.35,17.04
2019-12-31,74.83,$2.71,27.63
2019-09-30,69.11,$3.00,23.01
2019-06-30,61.22,$3.32,18.42
2019-03-31,57.46,$3.29,17.48
2018-12-31,53.59,$2.86,18.71
2018-09-30,62.33,$3.24,19.27
2018-06-30,57.81,$2.82,20.53
2018-03-31,50.46,$3.05,16.56
2017-12-31,50.81,$3.49,14.58
2017-09-30,44.86,$2.56,17.54
2017-06-30,41.57,$2.86,14.53
2017-03-31,42.62,$2.71,15.71
2016-12-31,45.18,$2.83,15.96
2016-09-30,39.73,$3.41,11.64
2016-06-30,41.13,$2.57,16.0
2016-03-31,37.65,$2.13,17.69
2015-12-31,32.56,$1.88,17.32
2015-09-30,30.95,$1.20,25.88
2015-06-30,28.45,$1.74,16.37
2015-03-31,29.49,$1.60,18.45
2014-12-31,30.78,$1.59,19.36
2014-09-30,28.99,$1.52,19.08
2014-06-30,28.38,$1.69,16.83
2014-03-31,27.16,$1.86,14.59
2013-12-31,27.14,$1.85,14.63
2013-09-30,23.53,$1.69,13.94
2013-06-30,25.05,$1.71,14.62
2013-03-31,25.58,$1.26,20.31
2012-12-31,22.83,$1.10,20.78
2012-09-30,22.35,$1.11,20.07
2012-06-30,21.12,$1.07,19.81
2012-03-31,20.96,$0.90,23.39
2011-12-31,20.4,$1.05,19.52
2011-09-30,17.83,$0.71,24.94
2011-06-30,21.47,$0.81,26.65
2011-03-31,18.91,$0.84,22.44
2010-12-31,19.71,$0.64,30.87
2010-09-30,19.12,$0.78,24.48
2010-06-30,18.99,$0.53,36.07
2010-03-31,19.44,$0.84,23.14
2009-12-31,18.26,$1.74,10.48
