NFT Price to Free Cash Flow Ratio Historical Data,NFT Price to Free Cash Flow Ratio Historical Data,NFT Price to Free Cash Flow Ratio Historical Data,NFT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.19,,0.53
2023-12-31,0.19,$4.11,0.05
2023-06-30,0.35,$-4.73,0.0
2023-03-31,0.63,$3.82,0.16
2022-12-31,0.55,$8.23,0.07
2022-09-30,1.04,$-232.26,0.0
2022-06-30,1.66,$-95.90,0.0
2022-03-31,2.25,$-66.98,0.0
2021-12-31,4.05,$-65.08,0.0
2021-09-30,7.58,$166.51,0.05
2021-06-30,16.63,$24.82,0.67
2021-03-31,34.0,$-21.78,0.0
2020-12-31,1.48,$-34.51,0.0
2020-09-30,0.88,$-34.25,0.0
2020-06-30,1.04,$-69.40,0.0
2020-03-31,1.2,$10.64,0.11
2019-12-31,0.5,$43.42,0.01
2019-09-30,0.53,$28.94,0.02
2019-06-30,0.67,$19.28,0.03
2019-03-31,0.81,$-90.38,0.0
2018-12-31,0.68,$-105.25,0.0
2018-09-30,0.88,$-75.06,0.0
2018-06-30,1.67,$-24.10,0.0
2018-03-31,2.1,$17.26,0.12
2017-12-31,2.51,$1.81,1.39
