Vivopower Plc Price to Free Cash Flow Ratio Historical Data,Vivopower Plc Price to Free Cash Flow Ratio Historical Data,Vivopower Plc Price to Free Cash Flow Ratio Historical Data,Vivopower Plc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.85,,inf
2024-06-30,1.38,0.0,0.0
2023-12-31,1.93,0.0,0.0
2023-06-30,6.66,0.0,0.0
2022-12-31,2.46,0.0,0.0
2022-06-30,13.9,0.0,0.0
2021-12-31,30.5,0.0,0.0
2021-06-30,72.9,0.0,0.0
2020-12-31,92.8,0.0,0.0
2020-06-30,13.2,0.0,0.0
2019-12-31,10.5,0.0,0.0
2019-03-31,12.8,0.0,0.0
2018-09-30,14.2,0.0,0.0
