China Yuchai Price to Free Cash Flow Ratio Historical Data,China Yuchai Price to Free Cash Flow Ratio Historical Data,China Yuchai Price to Free Cash Flow Ratio Historical Data,China Yuchai Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.13,,6.97
2020-06-30,11.05,$2.74,4.03
2020-03-31,8.27,$2.74,3.02
2019-12-31,10.25,$2.74,3.74
2019-09-30,9.95,$0.99,10.1
2019-06-30,10.88,$0.99,11.03
2019-03-31,11.5,$0.99,11.67
2018-12-31,9.03,$0.99,9.16
2018-09-30,12.53,$3.96,3.17
2018-06-30,15.75,$3.96,3.98
2018-03-31,13.91,$3.96,3.51
2017-12-31,15.77,$3.96,3.98
2017-09-30,14.62,$6.99,2.09
2017-06-30,11.96,$6.99,1.71
2017-03-31,11.56,$6.99,1.65
2016-12-31,8.63,$6.99,1.23
2016-09-30,6.78,$5.10,1.33
2016-06-30,6.76,$5.10,1.32
2016-03-31,5.7,$5.10,1.12
2015-12-31,6.23,$5.10,1.22
2015-09-30,7.16,$-0.47,0.0
2015-06-30,9.7,$-0.47,0.0
2015-03-31,10.78,$-0.47,0.0
2014-12-31,10.38,$-0.47,0.0
2014-09-30,10.12,$0.63,16.08
2014-06-30,11.59,$0.63,18.4
2014-03-31,10.93,$0.63,17.36
2013-12-31,10.77,$0.63,17.11
2013-09-30,12.27,$3.83,3.2
2013-06-30,9.06,$3.83,2.36
2013-03-31,8.03,$3.83,2.09
2012-12-31,7.92,$3.83,2.07
2012-09-30,6.4,$-10.44,0.0
2012-06-30,6.86,$-10.44,0.0
2012-03-31,7.74,$-10.44,0.0
2011-12-31,6.73,$-10.44,0.0
2011-09-30,7.11,$3.54,2.01
2011-06-30,10.29,$3.54,2.91
2011-03-31,13.74,$3.54,3.88
2010-12-31,14.85,$3.54,4.19
2010-09-30,8.96,$12.95,0.69
2010-06-30,7.22,$12.95,0.56
2010-03-31,8.22,$12.95,0.64
2009-12-31,6.8,$12.95,0.53
