Yum! Brands Price to Free Cash Flow Ratio Historical Data,Yum! Brands Price to Free Cash Flow Ratio Historical Data,Yum! Brands Price to Free Cash Flow Ratio Historical Data,Yum! Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,157.89,,31.42
2024-12-31,134.16,$5.02,26.7
2024-09-30,139.04,$4.81,28.92
2024-06-30,131.17,$4.80,27.33
2024-03-31,136.64,$4.72,28.98
2023-12-31,128.12,$4.62,27.7
2023-09-30,121.93,$4.54,26.83
2023-06-30,134.59,$4.44,30.33
2023-03-31,127.71,$4.25,30.06
2022-12-31,123.27,$3.96,31.14
2022-09-30,101.88,$3.89,26.17
2022-06-30,108.2,$4.09,26.48
2022-03-31,112.45,$4.69,23.97
2021-12-31,131.13,$4.89,26.83
2021-09-30,115.04,$5.09,22.58
2021-06-30,107.79,$5.04,21.41
2021-03-31,100.95,$3.98,25.34
2020-12-31,100.82,$3.73,27.03
2020-09-30,84.42,$3.56,23.73
2020-06-30,79.98,$3.31,24.16
2020-03-31,62.74,$3.42,18.32
2019-12-31,91.8,$3.58,25.68
2019-09-30,102.94,$3.34,30.83
2019-06-30,100.07,$3.20,31.32
2019-03-31,89.87,$3.24,27.71
2018-12-31,82.4,$2.86,28.78
2018-09-30,81.16,$2.61,31.04
2018-06-30,69.53,$2.09,33.23
2018-03-31,75.35,$1.86,40.61
2017-12-31,71.9,$2.01,35.85
2017-09-30,64.61,$1.95,33.08
2017-06-30,64.48,$2.04,31.67
2017-03-31,55.6,$2.23,24.89
2016-12-31,54.85,$2.20,24.99
2016-09-30,56.09,$0.85,66.2
2016-06-30,50.94,$1.61,31.65
2016-03-31,50.01,$1.76,28.42
2015-12-31,44.33,$1.86,23.79
2015-09-30,48.2,$2.14,22.56
2015-06-30,54.06,$1.34,40.27
2015-03-31,46.99,$1.38,33.98
2014-12-31,43.24,$1.61,26.9
2014-09-30,42.47,$2.64,16.06
2014-06-30,47.7,$3.31,14.4
2014-03-31,44.07,$2.90,15.2
2013-12-31,43.98,$2.38,18.48
2013-09-30,41.29,$1.96,21.03
2013-06-30,39.92,$1.99,20.02
2013-03-31,41.21,$2.25,18.3
2012-12-31,37.84,$2.53,14.98
2012-09-30,37.63,$2.58,14.58
2012-06-30,36.37,$2.42,15.04
2012-03-31,40.03,$2.50,16.04
2011-12-31,33.03,$2.56,12.92
2011-09-30,27.49,$2.68,10.26
2011-06-30,30.61,$2.57,11.93
2011-03-31,28.33,$2.61,10.85
2010-12-31,26.91,$2.41,11.16
2010-09-30,25.14,$2.12,11.86
2010-06-30,21.2,$2.06,10.27
2010-03-31,20.71,$1.49,13.86
2009-12-31,18.78,$1.33,14.15
